Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info, Estimate Low,Estimate High,Price Sold, Price Type
Ai Weiwei ,1957,,Map of China,2009,Sculpture,20171006,Phillips London,20th Century & Contemporary Art Evening Sale,"1,017,125","1,525,688","1,003,140",Premium
Ai Weiwei ,1957,,Coca-Cola,2012,Paintings,20171006,Phillips London,20th Century & Contemporary Art Evening Sale,"254,281","381,422","377,607",Premium
Ai Weiwei ,1957,,Flowers (N° 14),2007,Sculpture,20171006,Sotheby's London,Contemporary Art Day Auction,"50,856","76,284","79,462",Premium
Ai Weiwei ,1957,,Surveillance camera and plinth,2015,Sculpture,20171006,Sotheby's London,Contemporary Art Day Auction,"317,851","444,992","346,776",Premium
Ai Weiwei ,1957,,Beijing's presents,2002,Sculpture,20171006,Sotheby's London,Contemporary Art Day Auction,"44,499","50,856","55,624",Premium
Ai Weiwei ,1957,,To fight with crossed arms,2007,Prints,20171002,Poly International Auction Hong Kong,Modern and Contemporary Art,"15,384","23,076","18,153",Premium
Ai Weiwei ,1957,,Coloured vases,2006,Ceramics,20171001,Sotheby's Hong Kong,Contemporary Art ? Day Sale,"128,200","192,300","144,225",Premium
Ai Weiwei ,1957,,Bowl of pearls,2010,Ceramics,20171001,Sotheby's Hong Kong,Contemporary Art ? Day Sale,"102,560","141,020",N/A,Withdrawn
Ai Weiwei ,1957,,Grapes,2011,Sculpture,20170930,Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"448,700","576,900",N/A,Bought In
Ai Weiwei ,1957,,Fairytale chairs,2007,Sculpture,20170927,Sotheby's New York,Contemporary Curated,"60,000","80,000","68,750",Premium
Ai Weiwei ,1957,,Serpentine Gallery Pavilion,2012,Prints,20170713,Rosebery's London,Urban & Contemporary Prints,"1,017","1,525",N/A,Bought In
Ai Weiwei ,1957,,Surveillance Camera,2010,Sculpture,20170629,Sotheby's London,Contemporary Art Day Auction,"317,851","444,992","316,262",Premium
Ai Weiwei ,1957,,Art edition,2014,Sculpture,20170627,Bonhams London,Prints & Multiples,"7,628","10,171","9,535",Premium
Ai Weiwei ,1957,,White House,N/A,Sculpture,20170611,Heritage Auctions Dallas,"The Future is Now: An Auction of Collectible Sneakers, Urban Art and Objects","3,000","5,000","5,250",Premium
Ai Weiwei ,1957,,Untitled,2006,Sculpture,20170528,Christie's Hong Kong,Asian Contemporary Art (Day Sale),"192,450","256,600",N/A,Bought In
Ai Weiwei ,1957,,Coloured Vases (in 9 parts),2008,Sculpture,20170528,Phillips Hong Kong,20th Century & Contemporary Art & Design Evening Sale,"102,640","153,960","271,996",Premium
Ai Weiwei ,1957,,Circle of Animals/Zodiac Heads,2010,Sculpture,20170518,Phillips New York,20th Century & Contemporary Art Evening Sale,"2,500,000","3,500,000","3,370,000",Premium
Ai Weiwei ,1957,,Serpentine Gallery Pavilion,2012,Prints,20170506,Rosebery's London,Modern & Contemporary Prints,"1,038","1,558",N/A,Bought In
Ai Weiwei ,1957,,Pour Serpentine Gallery,N/A,Prints,20170420,Piasa Paris,"Editions : estampes, livres illustrés, multiples","1,611","2,685",N/A,Bought In
Ai Weiwei ,1957,,"Ai Weiwei And Herzog & De Meuron, Serpentine Gallery Pavillion",2012,Prints,20170410,Heritage Auctions Dallas,Modern & Contemporary Prints & Multiples Signature Auction,"1,500","2,000","4,000",Premium
Ai Weiwei ,1957,,Yuyi,2006,Sculpture,20170403,Sotheby's Hong Kong,Contemporary Asian Art,"51,440","77,160","64,299",Premium
Ai Weiwei ,1957,,Dress,2006,Sculpture,20170403,Sotheby's Hong Kong,Contemporary Asian Art,"25,720","38,580","41,795",Premium
Ai Weiwei ,1957,,Fairytale - 1001 Chairs,2007,Sculpture,20170310,Phillips London,20th Century & Contemporary Art Day Sale,"14,590","21,886","16,718",Premium
Ai Weiwei ,1957,,Dress with flowers (No 5),2007,Sculpture,20170309,Sotheby's London,Contemporary Art Day Auction,"72,960","97,280","83,600",Premium
Ai Weiwei ,1957,,Marble Door,2007,Sculpture,20170308,Christie's London,Post War & Contemporary Art Day Auction,"146,196","219,294","152,287",Premium
Ai Weiwei ,1957,,Fairytale,2007,Sculpture,20170308,Christie's London,Post War & Contemporary Art Day Auction,"12,183","18,274","25,888",Premium
Ai Weiwei ,1957,,New York Photographs 1983-1993 (Twelve Works),1983,Photographs,20170119,Sotheby's Hong Kong,Boundless: Contemporary Art,"19,334","25,779",N/A,Bought In
Ai Weiwei ,1957,,Stool,2012,Furniture,20170119,Sotheby's Hong Kong,Boundless: Contemporary Art,"5,800","7,089","5,639",Premium
Ai Weiwei ,1957,,Fairytale ? 1001 Chairs,2007,Sculpture,20170118,Auctionata Berlin,Post-War & Contemporary Art,"20,501","25,627",N/A,Bought In
Ai Weiwei ,1957,,June 1994,1994,Photographs,20161209,Cornette de Saint Cyr Paris,Art Contemporain II,"74,347","95,589","80,039",Premium
Ai Weiwei ,1957,,"Luggage, from Fairytale, 2007",2007,Other,20161206,Bonhams New York,Modern & Contemporary Prints & Multiples,"3,000","5,000",N/A,Bought In
Ai Weiwei ,1957,,Peony,2015,Sculpture,20161205,Auctionata Berlin,The Paddle8 Pad: Editions,"4,242","6,363","3,711",Premium
Ai Weiwei ,1957,,Marble Chair (In Pair),2008,Furniture,20161203,Poly International Auction Beijing,2016 Autumn Sales - Modern and Contemporary Arts Evening Sale,"130,680","174,240","208,725",Premium
Ai Weiwei ,1957,,Untitled (Foster Divina),N/A,Sculpture,20161202,Koller Auktionen Zurich,Auktion,"178,128","257,296","226,123",Premium
Ai Weiwei ,1957,,Fairytale ? 1001 Chairs,2007,Sculpture,20161201,Auctionata Berlin,Post-War & Contemporary Art,"25,480","31,851",N/A,Bought In
Ai Weiwei ,1957,,Serpentine Gallery Pavilion,2012,Prints,20161130,Bonhams Knightsbridge,Prints and Multiples,"1,871","2,494",N/A,Bought In
Ai Weiwei ,1957,,"Shanghai Studio, 2011",2011,Prints,20161130,Bonhams Knightsbridge,Prints and Multiples,997,"1,496",N/A,Bought In
Ai Weiwei ,1957,,Shanghai Studio,2011,Photographs,20161129,Auctionata Berlin,Start Collecting: The Paddle8 Pad Sale Part 1,"1,909","2,333",N/A,Bought In
Ai Weiwei ,1957,,Serpentine Gallery Pavilion,2012,Prints,20161119,Rosebery's London,Modern & Contemporary Prints,987,"1,481",987,Hammer
Ai Weiwei ,1957,,Sofa in Black,2011,Furniture,20161118,Sotheby's New York,Contemporary Art Day Auction,"250,000","350,000","300,000",Premium
Ai Weiwei ,1957,,Table with Two Legs on The Wall,2008,Sculpture,20161118,Sotheby's New York,Contemporary Art Day Auction,"200,000","300,000","200,000",Premium
Ai Weiwei ,1957,,Bowls of Pearls,2006,Sculpture,20161116,Christie's New York,Post-War & Contemporary Art Afternoon Sale,"200,000","300,000","391,500",Premium
Ai Weiwei ,1957,,Colored Vases,2006,Sculpture,20161116,Christie's New York,Post-War & Contemporary Art Afternoon Sale,"250,000","350,000",N/A,Bought In
