Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Chen Hongshou ,1598,1652,"Narcissus, plum blossom and a small bird",1638,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"12,820","25,640",N/A,Bought In
Chen Hongshou ,1598,1652,Plum blossom,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"10,256","15,384","12,820",Premium
Chen Hongshou ,1598,1652,Eighteen lohans,N/A,Works on Paper,"September 12, 2017",Heritage Auctions Dallas,Asian Art,"20,000","30,000",N/A,Bought In
Attributed to Chen Hongshou ,1598,1652,The drinking party,N/A,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"30,000","60,000","35,000",Premium
Chen Hongshou ,1598,1652,Figure,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"22,065","36,775",N/A,Bought In
Chen Hongshou ,1598,1652,Figure,N/A,Works on Paper,"April 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [II],"32,149","45,010",N/A,Bought In
Chen Hongshou ,1598,1652,Insects and Flowers,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"154,679","257,799","858,473",Premium
Chen Hongshou ,1598,1652,Hermit Having Tea,N/A,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"116,960","175,440","134,504",Premium
Chen Hongshou ,1598,1652,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,674,Premium
Chen Hongshou ,1598,1652,Character,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","2,585",Premium
Attributed to Chen Hongshou ,1598,1652,Figures,N/A,Works on Paper,"September 12, 2016",Bonhams New York,Chinese Works of Art,"7,000","10,000","75,000",Premium
Chen Hongshou ,1598,1652,Three scholars by creek,N/A,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"181,230","226,538",N/A,Bought In
Chen Hongshou ,1598,1652,Character,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"4,556","9,113",N/A,Bought In
Chen Hongshou ,1598,1652,Character,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"1,215","2,278","1,822",Premium
Chen Hongshou ,1598,1652,Phoenix,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),759,"1,215","1,215",Premium
Chen Hongshou ,1598,1652,Landscape,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"73,575",Premium
Style of Chen Hongshou ,1598,1652,Portrait,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"7,616","15,233","28,028",Premium
Chen Hongshou ,1598,1652,Figure,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"53,315","83,782",N/A,Bought In
Chen Hongshou ,1598,1652,Landscape,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"3,046","4,569","3,503",Premium
Chen Hongshou ,1598,1652,Flower,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"45,684","91,368","105,074",Premium
Chen Hongshou ,1598,1652,Vase with Flower,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"121,824","243,649","143,601",Premium
Chen Hongshou ,1598,1652,Landscape and Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"365,474","456,843","560,394",Premium
Chen Hongshou ,1598,1652,Scholar and Attendants,N/A,Works on Paper,"May 30, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings & Calligraphy,"51,483","77,224",N/A,Bought In
Chen Hongshou ,1598,1652,Lotus,N/A,Works on Paper,"May 30, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"102,966","154,449",N/A,Bought In
Chen Hongshou ,1598,1652,Character and Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"12,257","18,386","21,144",Premium
Chen Hongshou ,1598,1652,Plum,N/A,Works on Paper,"March 26, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Modern Chinese Painting and Calligraphy II,"38,426","61,482",N/A,Bought In
Chen Hongshou ,1598,1652,Character,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,463,927,"1,599",Premium
Chen Hongshou ,1598,1652,Calligraphy,N/A,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,"78,146","125,035",N/A,Bought In
Chen Hongshou ,1598,1652,Painting and Calligraphy,N/A,Works on Paper,"November 16, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Classical Chinese Painting and Calligraphy,"188,566","235,708",N/A,Bought In
