Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Dong Qichang ,1555,1636,Landscapes and poems,1634,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"23,076","28,204","28,845",Premium
Dong Qichang ,1555,1636,Shady trees in summer,1607,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"128,200","192,300",N/A,Bought In
Dong Qichang ,1555,1636,Poems in running script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"192,300","256,400","751,252",Premium
Dong Qichang ,1555,1636,Landscape,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"51,280","76,920","64,100",Premium
Dong Qichang ,1555,1636,Du fu's poems in cursive script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"51,280","76,920","192,300",Premium
Dong Qichang ,1555,1636,Smoggy landscape,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"205,120","307,680","443,572",Premium
Dong Qichang ,1555,1636,Tang poems in running script,1615,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"19,230","25,640","128,200",Premium
Attributed to Dong Qichang ,1555,1636,[Untitled],N/A,Works on Paper,"September 17, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works Of Art, Fine Painting and Calligraphy","1,500","3,000",N/A,
Dong Qichang ,1555,1636,Fishing village at sunset,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"120,000","180,000",N/A,Bought In
Dong Qichang ,1555,1636,Living along the riverbank,N/A,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"130,000","160,000",N/A,Bought In
Dong Qichang ,1555,1636,Verdant hills and serene lake,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"29,260","43,890","43,743",Premium
Dong Qichang ,1555,1636,Landscape,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"7,355","11,768","13,533",Premium
Dong Qichang ,1555,1636,Landscape And Calligraphy Album,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"29,420","44,130",N/A,Bought In
Dong Qichang ,1555,1636,Landscape,1614,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"440,700","734,500",N/A,Bought In
