Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Fang Congyi ,1302,1393,Misty Landscape,N/A,Works on Paper,"November 28, 2016",China Guardian Hong Kong,China Guardian HK 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"773,399","1,031,199",N/A,Bought In
Fang Congyi ,1302,1393,Mountain Scenery,N/A,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"643,765","772,518","759,643",Premium
Fang Congyi ,1302,1393,Character,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,323,646,"1,672",Premium
Fang Congyi ,1302,1393,Landscape,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,323,646,"7,806",Premium
Fang Congyi ,1302,1393,Untitled,N/A,Works on Paper,"October 27, 2013",Poly International Auction Beijing,The 24th Fine Art Auction: Carnival - Chinese Classic Painting & Calligraphy,N/A,N/A,"3,781",Premium
Fang Congyi ,1302,1393,Untitled,N/A,Works on Paper,"July 28, 2013",Poly International Auction Beijing,The 23rd Fine Arts Auction: Extension - Classic Chinese Painings & Calligraphy,"2,445","4,890",N/A,Bought In
Fang Congyi ,1302,1393,Mountain beyond mountain,N/A,Works on Paper,"May 26, 2013",Poly International Auction Hong Kong,Delightful Harmony - Fine Modern and Classical Chinese Paintings and Calligraphy,N/A,N/A,"2,962",Premium
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"August 12, 2012",Poly International Auction Beijing,The 19th Fine Artwork Auction - Ancient Paintings and Calligraphies,"23,565","39,275","27,099",Premium
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"August 12, 2012",Poly International Auction Beijing,The 19th Fine Artwork Auction - Ancient Paintings and Calligraphies,"2,356","4,713","2,709",Premium
Fang Congyi ,1302,1393,Landscape,1377,Works on Paper,"June 03, 2012",Poly International Auction Beijing,2012 Spring Auction - Ancient Chinese Paintings and Calligraphies Evening Sale,"2,361,000","2,833,200","2,715,150",Premium
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"October 25, 2011",Poly International Auction Beijing,The 16th Fine Artwork Auction- Chinese Painting and Calligraphy Part V,"8,646","12,576",N/A,Bought In
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"October 25, 2011",Poly International Auction Beijing,The 16th Fine Artwork Auction- Chinese Painting and Calligraphy Part V,"1,572","3,144","1,807",Premium
Attributed to Fang Congyi ,1302,1393,Recluse In The Mountains,N/A,Works on Paper,"October 04, 2011",Sotheby's Hong Kong,Fine Chinese Paintings,"32,099","51,359","541,848",Premium
Fang Congyi ,1302,1393,Landscape,1348,Works on Paper,"September 17, 2011",China Guardian  Beijing,27th China Guardian Quarterly Auction,469,939,539,Premium
Fang Congyi ,1302,1393,Landscape,1376,Works on Paper,"September 17, 2011",China Guardian  Beijing,27th China Guardian Quarterly Auction,"3,130","6,260","5,399",Premium
Fang Congyi ,1302,1393,Landscape and character,1376,Works on Paper,"March 19, 2011",China Guardian  Beijing,25th China Guardian Quarterly Auction,"5,328","6,850",N/A,Bought In
Fang Congyi ,1302,1393,Landscape,N/A,Works on Paper,"December 05, 2010",Poly International Auction Beijing,"5-Year Anniversary Autumn Auction, Ancient Chinese Paintings and Calligraphy","30,017","42,024",N/A,Bought In
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"March 24, 2010",Poly International Auction Beijing,10th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"2,953","4,430","4,961",Premium
Fang Congyi ,1302,1393,[Untitled],N/A,Works on Paper,"March 24, 2010",Poly International Auction Beijing,10th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"2,953","4,430",N/A,Bought In
Fang Congyi ,1302,1393,Landscape,N/A,Works on Paper,"May 30, 2008",Poly International Auction Beijing,2008 Spring Auctions-Chinese Ancient Painting and Calligraphy Auction II,"8,644","11,525",N/A,Bought In
Fang Congyi ,1302,1393,Humble cottage in autumn mountains,N/A,Works on Paper,"December 19, 2007",Xiling Yinshe Hangzhou,2007 Autumn Art- Chinese Classical Painting and Calligraphy (Ming Dynasty and before),"21,704","33,913","24,308",Premium
Attributed to Fang Congyi ,1302,1393,Landscape,N/A,Works on Paper,"May 29, 2006",Christie's Hong Kong,Fine Classical Chinese Paintings & Calligraphy,"6,450","7,740","9,675",Hammer
Fang Congyi ,1302,1393,Landscape in mist,N/A,Works on Paper,"April 25, 2004",Christie's Hong Kong,Fine Classical Chinese Paintings & Calligraphy,"30,792","38,490","30,792",Hammer
