Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Fu Shan ,1607,1684,Calligraphy in Cursive Script,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"51,320","102,640",N/A,Bought In
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"40,628","58,040","46,722",Premium
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"14,510","29,020",N/A,Bought In
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"261,180","406,280",N/A,Bought In
Fu Shan ,1607,1684,Calligraphy in Cursive Script,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"440,400","587,200","506,460",Premium
Fu Shan ,1607,1684,Calligraphy in Cursive Script,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"293,600","440,400",N/A,Bought In
Fu Shan ,1607,1684,Orchid and Rock,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,199","2,248","2,585",Premium
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199",N/A,Bought In
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),911,"1,822","1,063",Premium
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"9,113","13,669",N/A,Bought In
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"578,668","913,687","665,468",Premium
Fu Shan ,1607,1684,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"578,668","883,230","875,616",Premium
Fu Shan ,1607,1684,Calligraphy in Running Script,N/A,Works on Paper,"May 29, 2016",Bonhams Hong Kong,Fine Chinese and Southeast Asian Paintings,"19,312","32,188","24,141",Premium
Fu Shan ,1607,1684,Poem in Cursive Script,N/A,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"77,251","103,002","91,157",Premium
