Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Guan Daosheng ,1262,1319,Calligraphy in regular script,1299,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"2,564","3,846","5,128",Premium
Guan Daosheng ,1262,1319,Lady,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"17,412","50,785","20,023",Premium
Guan Daosheng ,1262,1319,Flower,N/A,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy Evening Sale,"187,761","281,641",N/A,Bought In
Guan Daosheng ,1262,1319,Calligraphy,N/A,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Important Chinese Calligraphy Night Sale,"54,763","93,880","68,376",Premium
Guan Daosheng ,1262,1319,"Flowers, Calligraphy",N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,N/A,N/A,"3,345",Premium
Guan Daosheng ,1262,1319,Bamboo and Rock,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,484,969,"15,241",Premium
Guan Daosheng ,1262,1319,Landscape,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - A Collection of Chinese Painting and Calligraphy From Dehuatang - Classical Chinese Painting and Calligraphy,"2,424","4,040","6,505",Premium
Guan Daosheng ,1262,1319,Bamboo,N/A,Works on Paper,"September 22, 2014",China Guardian  Beijing,39th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,302","1,953","8,424",Premium
Guan Daosheng ,1262,1319,Breeze into yan,1291,Works on Paper,"May 31, 2014",Est-Ouest Auctions Hong Kong,"30th Anniversary Auction - Fine Chinese Painting & Calligraphy, Antiques, Jewellery & Watches, Important Vintage Wines, Fine & Contemporary Art","6,450","10,320",N/A,Bought In
Guan Daosheng ,1262,1319,Bamboo and Rock,N/A,Works on Paper,"March 25, 2014",China Guardian  Beijing,37th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,482,964,"4,623",Premium
Guan Daosheng ,1262,1319,Landscape,N/A,Works on Paper,"March 25, 2014",China Guardian  Beijing,37th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"5,628","7,236",N/A,Bought In
Attributed to Guan Daosheng ,1262,1319,Ink Bamboo and Garden Rock,N/A,Works on Paper,"March 17, 2014",Bonhams New York,Chinese Art from the Scholar's Studio,N/A,N/A,"112,500",Premium
Attributed to Guan Daosheng ,1262,1319,Studying In The Autumn Forest,N/A,Works on Paper,"September 18, 2013",Christie's New York,Fine Chinese Paintings,"12,000","15,000","35,000",Premium
Style of Guan Daosheng ,1262,1319,Bamboo,N/A,Works on Paper,"September 18, 2013",Christie's New York,Fine Chinese Paintings,"10,000","15,000","47,500",Premium
Guan Daosheng ,1262,1319,Bamboo and Rock,N/A,Works on Paper,"September 17, 2013",China Guardian  Beijing,35th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy (II),"8,169","13,072","9,395",Premium
After Guan Daosheng ,1262,1319,Poemes palindromes illustres,N/A,Works on Paper,"December 18, 2012",Sotheby's Paris,Arts d'Asie,"52,996","79,494","56,639",Premium
Guan Daosheng ,1262,1319,[Untitled],N/A,Works on Paper,"August 12, 2012",Poly International Auction Beijing,The 19th Fine Artwork Auction - Ancient Paintings and Calligraphies from overseas collectors,N/A,N/A,"4,516",Premium
Guan Daosheng ,1262,1319,Bamboo And Rock,N/A,Works on Paper,"June 18, 2012",China Guardian  Beijing,30th China Guardian Quarterly Auction - Chinese Painting and Calligraphy VII,"1,257","1,886","7,231",Premium
Guan Daosheng ,1262,1319,Bamboo And Rock,N/A,Works on Paper,"March 26, 2012",China Guardian  Beijing,29th China Guardian Quarterly Auction - Chinese Painting and Calligraphy XI,"4,752","9,504","10,929",Premium
