Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Lan Ying ,1585,1664,Landscape,1652,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"51,280","64,100","112,175",Premium
Lan Ying ,1585,1664,Fishing in reclusion,1631,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"192,300","256,400","272,425",Premium
Lan Ying ,1585,1664,Landscape,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"40,000","60,000",N/A,Bought In
Lan Ying ,1585,1664,Land of idyllic beauty,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"175,560","263,340","370,139",Premium
Lan Ying ,1585,1664,Paradise on earth,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"409,640","555,940","588,857",Premium
Lan Ying ,1585,1664,Hermitage in misty mountain,1657,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"263,340","365,750","386,963",Premium
Lan Ying ,1585,1664,Snowy mountains,1651,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"219,450","321,860","302,841",Premium
Attributed to Lan Ying ,1585,1664,Two Scholars in Landscape,N/A,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"2,000","3,000","1,000",Hammer
Lan Ying ,1585,1664,Landscape,1622,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"73,550","117,680","118,415",Premium
Lan Ying ,1585,1664,Figure,1625,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"26,478","41,188","43,982",Premium
Lan Ying ,1585,1664,Landscape in the Style of Dong Yuan,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"70,565","109,055","88,206",Premium
Lan Ying ,1585,1664,Landscape in the Style of Mi Fu,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"10,264","12,830","14,433",Premium
Lan Ying ,1585,1664,Landscape in Style of Wu Zhen,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"51,320","102,640","144,337",Premium
Lan Ying ,1585,1664,Luhong Caotang Studio,N/A,Works on Paper,"May 05, 2017",Xiling Yinshe Hangzhou,2017 Shaoxing Spring Auction,"26,082","36,225",N/A,
Attributed to Lan Ying ,1585,1664,Landscape,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"12,860","19,290","16,074",Premium
Lan Ying ,1585,1664,Landscape after Zhao Mengfu,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"10,288","15,431","12,860",Premium
Lan Ying ,1585,1664,[Untitled],N/A,Works on Paper,"December 18, 2016",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","3,000","7,000","3,000",Hammer
Lan Ying ,1585,1664,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"58,040","87,060",N/A,Bought In
Lan Ying ,1585,1664,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"5,804","11,608",N/A,Bought In
Lan Ying ,1585,1664,Scholar Walking on a Bridge,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"64,449","90,229","112,787",Premium
