Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"November 28, 2016",China Guardian Hong Kong,China Guardian HK 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"10,311","12,889","31,941",Premium
Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"27,339","33,415",N/A,Bought In
Li Tang ,1055,1130,[Untitled],N/A,Works on Paper,"June 13, 2016",Waddingtons Toronto,Asian Art Auction,311,467,383,Premium
Attributed to Li Tang ,1055,1130,Sailing out Gorges,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"21,021",Premium
Xiang Shengmo ,1597,1658,Landscape,N/A,Works on Paper,"April 07, 2015",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"64,497","77,396",N/A,Bought In
Wang Yun ,1652,1735,Landscape,N/A,Works on Paper,"October 06, 2014",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"38,700","64,500","68,499",Premium
Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"September 17, 2013",China Guardian  Beijing,35th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy (II),"1,307","2,451","18,791",Premium
Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"June 05, 2013",Poly International Auction Beijing,2013 Spring Auction - Classical Chinese Paintings and Calligraphy,"32,579","48,870","37,467",Premium
Li Tang ,1055,1130,[Untitled],N/A,Works on Paper,"January 20, 2013",Poly International Auction Beijing,The 21st Fine Arts Auction - Classic-Chinese Paintings & Calligraphy (V),"6,432","8,040","10,356",Premium
Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"September 17, 2012",China Guardian  Beijing,31st China Guardian Quarterly Auction - Chinese Painting and Calligraphy VIII,"31,600","63,200",N/A,Bought In
Li Tang ,1055,1130,The cow,N/A,Works on Paper,"May 31, 2012",Council Beijing,Spring 2012 Auction,"86,515","94,380","112,154",Premium
Li Tang ,1055,1130,Landscape and character,N/A,Works on Paper,"June 18, 2011",China Guardian  Beijing,26th China Guardian Quarterly Auction,"4,327","5,873","39,103",Premium
Li Tang ,1055,1130,Untitled,N/A,Works on Paper,"April 22, 2011",Poly International Auction Beijing,14th Fine Art Auction- Chinese Paintings and Calligraphy V,461,768,"7,069",Premium
Li Tang ,1055,1130,Picking Osmund grass,N/A,Works on Paper,"December 04, 2010",Poly International Auction Beijing,"5-Year Anniversary Autumn Auction, Masterpieces Of Classical Chinese Symbolic Literati Painting And Calligraphy Evening Sale","525,315","750,450","605,162",Premium
Li Yin ,1616,1685,Landscape After Li Tang (Looking Out Onto The Snow),N/A,Works on Paper,"September 16, 2008",Sotheby's New York,Fine Chinese Ceramics & Works of Art including Chinese and Japanese Art from The Collection of Frieda and Milton Rosenthal,"30,000","50,000","28,125",Premium
Li Tang ,1055,1130,Landscape,N/A,Works on Paper,"May 31, 2007",Poly International Auction Beijing,2007 Spring Auctions- Chinese Ancient Paintings and Calligraphy,"23,524","26,138","63,254",Premium
