Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Liu Songnian ,1150,1225,[Untitled],N/A,Works on Paper,"September 17, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works Of Art, Fine Painting and Calligraphy","6,000","12,000",N/A,
Liu Songnian ,1150,1225,Learning to fish,N/A,Works on Paper,"December 10, 2016",Selkirk Auctioneers & Appraisers				 St. Louis,Winter Gallery Auction,"2,000","3,000",N/A,Bought In
Liu Songnian ,1150,1225,Character and Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"3,037","6,075",N/A,Bought In
Liu Songnian ,1150,1225,Landscape,N/A,Works on Paper,"February 13, 2016",Sloans & Kenyon Chevy Chase,February Estate Auction,"3,000","4,000","3,500",Hammer
Style of Liu Songnian ,1150,1225,Alte Tempel in nebliger Berglandschaft,N/A,Works on Paper,"December 07, 2015",Nagel Auktionen Stuttgart,Asiatische Kunst,"5,441","8,707","5,441",Hammer
Attributed to Liu Songnian ,1150,1225,After the Painting Wangchuan Villa by Wang Wei,N/A,Works on Paper,"September 12, 2015",Freeman's Philadelphia,Asian Arts,"10,000","15,000","18,750",Premium
Liu Songnian ,1150,1225,Immortals,N/A,Works on Paper,"June 06, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy,"16,120","32,240",N/A,Bought In
Liu Songnian ,1150,1225,Untitled,N/A,Works on Paper,"January 25, 2015",Poly International Auction Beijing,Spring Greeting - Chinese Paintings & Calligraphy,N/A,N/A,"2,203",Premium
Attributed to Liu Songnian ,1150,1225,Enlightenment from ancients,N/A,Works on Paper,"October 06, 2014",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"32,250","38,700","60,888",Premium
Liu Songnian ,1150,1225,Landscape,N/A,Works on Paper,"June 04, 2014",Poly International Auction Beijing,Connoisseurship in Ancient Arts: Chinese Classical Paintings and Calligraphy Day Sale,"19,188","31,979","22,066",Premium
Liu Songnian ,1150,1225,Character and Landscape,N/A,Works on Paper,"March 25, 2014",China Guardian  Beijing,37th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"3,537","5,145","4,068",Premium
Liu Songnian ,1150,1225,Fisherman Under Tree,N/A,Works on Paper,"March 24, 2014",Cowan's Cincinnati,Asian Art,"6,000","8,000",N/A,Bought In
After Liu Songnian ,1150,1225,Wang-chuan Villa,N/A,Works on Paper,"March 15, 2014",Freeman's Philadelphia,Asian Arts,"30,000","50,000","37,500",Premium
Liu Songnian ,1150,1225,Classical,N/A,Works on Paper,"December 04, 2013",Poly International Auction Beijing,2013 Autumn Auction: Classical Chinese Paintings and Calligraphy,"197,040","295,560","339,894",Premium
After Liu Songnian ,1150,1225,Travellers in autumn landscape,N/A,Works on Paper,"November 24, 2013",Bonhams Hong Kong,"Fine Chinese Paintings - Classical, Modern & Contemporary Ink",N/A,N/A,"16,125",Premium
After Liu Songnian ,1150,1225,The fishing terrace of Yan Ziling,N/A,Works on Paper,"November 07, 2013",Bonhams London,Fine Chinese Art,N/A,N/A,"50,296",Premium
Liu Songnian ,1150,1225,Untitled,N/A,Works on Paper,"October 27, 2013",Poly International Auction Beijing,The 24th Fine Art Auction: Carnival - Chinese Classic Painting & Calligraphy,N/A,N/A,"2,835",Premium
Liu Songnian ,1150,1225,Untitled,N/A,Works on Paper,"July 28, 2013",Poly International Auction Beijing,The 23rd Fine Arts Auction: Extension - Classic Chinese Painings & Calligraphy,"16,300","32,600",N/A,Bought In
Liu Songnian ,1150,1225,Character and landscape,N/A,Works on Paper,"May 26, 2013",Poly International Auction Hong Kong,Delightful Harmony - Fine Modern and Classical Chinese Paintings and Calligraphy,N/A,N/A,"5,184",Premium
Liu Songnian ,1150,1225,Landscape,N/A,Works on Paper,"March 25, 2013",China Guardian  Beijing,33rd China Guardian Quarterly Auctions - Chinese Painting and Calligraphy XI,804,"1,286","5,177",Premium
