Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Dong Qichang ,1555,1636,Du fu's poems in cursive script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"51,280","76,920","192,300",Premium
After Mi Fu ,1051,1107,Calligraphy,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"333,320","487,160",N/A,Bought In
Attributed to Mi Fu ,1051,1107,Fu Guan tie calligraphy,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"230,760","333,320","288,450",Premium
After Mi Fu ,1051,1107,Snowy lake; Landscape,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"4,389","7,315","10,094",Premium
After Mi Fu ,1051,1107,Landscape,1686,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"558,220","852,020",N/A,Bought In
Mi Fu ,1051,1107,[Untitled],N/A,Works on Paper,"November 14, 2016",China Guardian  Beijing,Rare Books and Rubbing Books,"10,234","11,696",N/A,Bought In
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,674,Premium
Mi Fu ,1051,1107,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"1,173","1,760","1,349",Premium
Attributed to Su Shi ,1036,1101,Speech of Scholar Returning Home in Regular Script,N/A,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"773,399","1,288,999","938,391",Premium
Mi Fu ,1051,1107,Calligraphy,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"1,518","3,037","2,733",Premium
After Mi Fu ,1051,1107,Landscape,N/A,Works on Paper,"May 13, 2016",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy (Part I),"3,061","4,592","4,577",Premium
Attributed to Mi Fu ,1051,1107,Calligraphy,N/A,Works on Paper,"April 04, 2016",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"128,976","193,464",N/A,Bought In
Attributed to Mi Fu ,1051,1107,Calligraphy,N/A,Circa 1079 Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"2,000","2,500","37,500",Premium
Mi Fu ,1051,1107,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,463,927,533,Premium
Su Shi ,1036,1101,Bamboo,N/A,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,N/A,N/A,"7,189",Premium
After Mi Fu ,1051,1107,Landscape,N/A,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"4,027","6,444","11,117",Premium
Su Shi ,1036,1101,Calligraphy,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"19,357","29,036",N/A,Bought In
Mi Fu ,1051,1107,Calligraphy,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,419","4,032","7,791",Premium
After Mi Fu ,1051,1107,Landscape,N/A,Works on Paper,"April 22, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction - Shaoxing,"16,150","24,225","31,573",Premium
