Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
After Qiu Ying ,1482,1559,Scholar brewing tea,1842,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"51,280","76,920","200,312",Premium
Attributed to Qiu Ying ,1482,1559,Eight immortals of the winecup,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"38,460","51,280","48,075",Premium
Attributed to Qiu Ying ,1482,1559,Figural stories,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"25,000","45,000",N/A,Bought In
Attributed to Qiu Ying ,1482,1559,Playing Music Under the Pines,N/A,Works on Paper,"May 26, 2017",Bonhams Hong Kong,Fine Chinese Paintings,"19,245","32,075","112,262",Premium
Attributed to Qiu Ying ,1482,1559,Landscape,N/A,Works on Paper,"March 18, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"2,000","3,000","6,875",Premium
Attributed to Qiu Ying ,1482,1559,Spring morning in Han Palace,N/A,Works on Paper,"March 18, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"1,000","2,000","43,750",Premium
Attributed to Qiu Ying ,1482,1559,Scholars gathering in a garden,N/A,Works on Paper,"March 16, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"5,000","7,000","672,500",Premium
Attributed to Qiu Ying ,1482,1559,Erotic subject handscroll,N/A,Works on Paper,"February 16, 2017",Sotheby's London,Erotic: Passion & Desire,"9,990","12,488",N/A,Bought In
Attributed to Qiu Ying ,1482,1559,Scholars In A Garden,N/A,Paintings,"December 07, 2016",Koller Auktionen Zurich,Asian Art,"1,485","2,476","1,485",Hammer
Qiu Ying ,1482,1559,Figure,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"9,177",Premium
Qiu Ying ,1482,1559,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"4,171",Premium
Qiu Ying ,1482,1559,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"1,687",Premium
After Qiu Ying ,1482,1559,Landscape,N/A,Works on Paper,"October 03, 2016",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"48,981","54,137",N/A,Bought In
Qiu Ying ,1482,1559,Scholars at Lan pavilion,N/A,Paintings,"September 29, 2016",Xiling Yinshe Hangzhou,Shao Xing 2016 Autumn Auction,"2,698","3,747","3,102",Premium
Qiu Ying ,1482,1559,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,998","5,996",N/A,Bought In
Qiu Ying ,1482,1559,Character and Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","4,309",Premium
Qiu Ying ,1482,1559,Character and Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"8,994","14,990",N/A,Bought In
Qiu Ying ,1482,1559,Character and Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199",N/A,Bought In
Attributed to Qiu Ying ,1482,1559,Palais des Immortels,N/A,Works on Paper,"June 23, 2016",Sotheby's Paris,Arts d'Asie,"6,821","9,095","24,161",Premium
Attributed to Qiu Ying ,1482,1559,Yang Guifei sortant du bain,N/A,Works on Paper,"June 23, 2016",Sotheby's Paris,Arts d'Asie,"4,547","6,821","78,168",Premium
Qiu Ying ,1482,1559,Landscape and Figure,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"11,386",Premium
Qiu Ying ,1482,1559,Children Playing,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"12,186","18,279",N/A,Bought In
Manner of Qiu Ying ,1482,1559,Women picking mulberry leaves,N/A,Works on Paper,"May 20, 2016",Duke's Dorchester,Asian Art,290,580,261,Hammer
Qiu Ying ,1482,1559,Dame mit Dienerin und Hündchen,N/A,Works on Paper,"May 06, 2016",Nagel Auktionen Stuttgart,Asiatische Kunst,"91,236","136,854","268,005",Hammer
Attributed to Qiu Ying ,1482,1559,Ladies at leisure,N/A,Works on Paper,"March 30, 2016",Maynards Vancouver,"Antiques, International & Asian Art Auction","3,827","6,124",N/A,Bought In
Qiu Ying ,1482,1559,Character and Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"2,298","3,830","7,048",Premium
Qiu Ying ,1482,1559,Character and Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"15,322","22,983","24,668",Premium
