Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,674,Premium
Attributed to Su Shi ,1036,1101,Speech of Scholar Returning Home in Regular Script,N/A,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"773,399","1,288,999","938,391",Premium
Su Shi ,1036,1101,Bamboo,N/A,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,N/A,N/A,"7,189",Premium
Su Shi ,1036,1101,Calligraphy,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"19,357","29,036",N/A,Bought In
Su Shi ,1036,1101,Calligraphy,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,323,646,N/A,Bought In
Su Shi ,1036,1101,Bamboo and Rock,N/A,Works on Paper,"December 21, 2014",China Guardian  Beijing,40th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,287","1,930","1,480",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"October 06, 2014",Poly International Auction Hong Kong,An Artistic Voyage from Dunhuang to Nara - A Private Collection of Prestigious Zen Masters' Calligraphy and East Asian Buddhist,"16,770","19,350",N/A,Bought In
Su Shi ,1036,1101,Ink Bamboo,N/A,Works on Paper,"June 03, 2014",Poly International Auction Beijing,More Sublime when looking up: Chinese Classical Paintings and Calligraphy Evening Sale,"319,800","607,620","6,803,744",Premium
Su Shi ,1036,1101,Calligraphy,N/A,Works on Paper,"December 04, 2013",Poly International Auction Beijing,2013 Autumn Auction: Classical Chinese Paintings and Calligraphy,"98,520","147,780",N/A,Bought In
Su Shi ,1036,1101,Gong Fu Tie Calligraphy,N/A,Works on Paper,"September 19, 2013",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,N/A,N/A,"8,229,000",Premium
Su Shi ,1036,1101,Untitled,N/A,Works on Paper,"July 28, 2013",Poly International Auction Beijing,The 23rd Fine Arts Auction: Extension - Classic Chinese Painings & Calligraphy,N/A,N/A,"1,312",Premium
Su Shi ,1036,1101,Ink Bamboo,N/A,Works on Paper,"March 25, 2013",China Guardian  Beijing,33rd China Guardian Quarterly Auctions - Chinese Painting and Calligraphy XI,"1,286","1,929","9,615",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"January 20, 2013",Poly International Auction Beijing,The 21st Fine Arts Auction - Classic-Chinese Paintings & Calligraphy (V),N/A,N/A,"1,664",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"January 20, 2013",Poly International Auction Beijing,The 21st Fine Arts Auction - Classic-Chinese Paintings & Calligraphy (V),N/A,N/A,"2,219",Premium
Su Shi ,1036,1101,Tree,N/A,Works on Paper,"September 17, 2012",China Guardian  Beijing,31st China Guardian Quarterly Auction - Chinese Painting and Calligraphy VI,474,948,"16,353",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"April 23, 2012",Poly International Auction Beijing,The 18th Fine Artwork Auction - Chinese Paintings & Calligraphy V,"7,920","12,672","9,108",Premium
Su Shi ,1036,1101,Rubbing of Second Volume of Gongshen Daobei by Sima Guang,N/A,Works on Paper,"September 15, 2011",Christie's New York,A Connoisseur's Vision: Property from the Xu Hanqing Collection,"20,000","30,000",N/A,Bought In
Su Shi ,1036,1101,Untitled,N/A,Works on Paper,"April 22, 2011",Poly International Auction Beijing,14th Fine Art Auction- Chinese Paintings and Calligraphy V,"15,368","23,053","17,674",Premium
Su Shi ,1036,1101,Untitled,N/A,Works on Paper,"April 21, 2011",Poly International Auction Beijing,14th Fine Art Auction- Chinese Paintings and Calligraphy IV,"1,540","3,080","21,257",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"March 24, 2010",Poly International Auction Beijing,10th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"7,383","10,336","8,269",Premium
Su Shi ,1036,1101,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"3,660","5,124",N/A,Bought In
Attributed to Su Shi ,1036,1101,Calligraphy,N/A,Works on Paper,"May 26, 2008",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"15,384","19,230","30,191",Premium
