Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Tang Yin ,1470,1523,Mid-Autumn,N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"3,784","6,055",N/A,
Tang Yin ,1470,1523,Flowers,1535,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"769,200","1,025,600","2,628,100",Premium
Attributed to Tang Yin ,1470,1523,[Untitled],N/A,Works on Paper,"September 17, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works Of Art, Fine Painting and Calligraphy","12,000","24,000",N/A,
Tang Yin ,1470,1523,Peaches,N/A,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"60,000","90,000",N/A,Bought In
Tang Yin ,1470,1523,Hermit beside pinetree,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"365,750","585,200","471,086",Premium
Attributed to Qian Weicheng ,1720,1772,Landscape,1753,Works on Paper,"June 27, 2017",Bonhams San Francisco,Fine Asian Works of Art,"2,500","4,000",N/A,Bought In
Dong Qichang ,1555,1636,"Landscapes, Flowers and Calligraphy",N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"513,200","769,800",N/A,Bought In
Tang Yin ,1470,1523,Landscape,N/A,Works on Paper,"April 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [II],"231,480","360,080","1,851,325",Premium
Attributed to Tang Yin ,1470,1523,Autumn mountain with red trees,N/A,Works on Paper,"March 18, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"3,000","5,000","16,250",Premium
Attributed to Tang Yin ,1470,1523,Scholars and Calligraphy,N/A,Works on Paper,"March 14, 2017",Christie's New York,Fine Chinese Paintings,"7,000","15,000","47,500",Premium
Tang Yin ,1470,1523,Landscape,N/A,Works on Paper,"December 17, 2016",Hosane Shanghai,2016 Autumn Auction,718,"1,149","5,288",Premium
Tang Yin ,1470,1523,Calligraphy in running script,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"70,083",Premium
