Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wang Duo ,1592,1652,Ping sheng tie calligraphy,1633,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"28,204","35,896",N/A,Bought In
Wang Duo ,1592,1652,Poem in running script,1651,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"153,840","205,120",N/A,Bought In
Wang Duo ,1592,1652,Jue Liang tie calligraphy,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"153,840","230,760","288,450",Premium
Wang Duo ,1592,1652,Orchids,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"38,460","51,280",N/A,Bought In
After Mi Fu ,1051,1107,Calligraphy,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"333,320","487,160",N/A,Bought In
Wang Duo ,1592,1652,Poem in running script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"51,280","64,100",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Cursive Script,1630,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"128,300","192,450","144,337",Premium
Wang Duo ,1592,1652,Calligraphy in running script,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"4,062","7,255",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"36,275","72,550","116,805",Premium
Wang Duo ,1592,1652,Calligraphy in running script,1644,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"43,530","87,060",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Cuisive Script,1644,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"406,560","551,760","484,242",Premium
Wang Duo ,1592,1652,Cursive Script Calligraphy,1642,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"386,699","644,499","394,433",Premium
Wang Duo ,1592,1652,Calligraphy in Running Script,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"117,440","264,240","962,274",Premium
Wang Duo ,1592,1652,Orchid and Bamboo,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,798","3,747",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,199","2,248","1,379",Premium
Wang Duo ,1592,1652,Calligraphy in Running Script,1629,Works on Paper,"September 15, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"60,000","80,000","250,000",Premium
Attributed to Wang Duo ,1592,1652,Poems in Running Script,N/A,Works on Paper,"September 15, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"8,000","12,000","20,000",Premium
Wang Duo ,1592,1652,Bamboo,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),759,"1,215","1,822",Premium
Wang Duo ,1592,1652,Calligraphy,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"2,278","3,797",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy,1642,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"182,797","274,195",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"304,662","456,993","350,361",Premium
Wang Duo ,1592,1652,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"913,687","1,218,249","1,436,011",Premium
Wang Duo ,1592,1652,Calligraphy in Running Script,1646,Works on Paper,"May 30, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings & Calligraphy,"489,088","746,503","592,054",Premium
Wang Duo ,1592,1652,Calligraphy After Jin and Tang Dynasty Masters,1647,Works on Paper,"May 30, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"193,061","257,415","550,868",Premium
Wang Duo ,1592,1652,Calligraphy in Running Script,N/A,Works on Paper,"May 29, 2016",Bonhams Hong Kong,Fine Chinese and Southeast Asian Paintings,"15,450","23,175","51,501",Premium
Wang Duo ,1592,1652,Poem in Running Script,1650,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"193,129","231,755",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Running Script,1649,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"128,753","193,129",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Cursive Script,1650,Works on Paper,"May 16, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"229,989","306,652",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Running Script,1650,Works on Paper,"May 16, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"275,986","337,317",N/A,Bought In
Wang Duo ,1592,1652,Five-character Poem in Running Script,1650,Works on Paper,"May 16, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"582,638","889,290",N/A,Bought In
Wang Duo ,1592,1652,Calligraphy in Cursive Script,N/A,Works on Paper,"May 15, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Grand View: Chinese Painting Highlight - Classical,"2,449,216","3,367,673","3,960,843",Premium
