Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wang Yuanqi ,1642,1715,Landscape,1894,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"12,820","19,230",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape in the style of ni zan,N/A,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"60,000","80,000","56,250",Premium
Wang Yuanqi ,1642,1715,Landscape,1699,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"2,864,550","4,113,200","3,378,700",Premium
Wang Yuanqi ,1642,1715,Classical Landscape,1711,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"256,600","384,900","869,874",Premium
Wang Yuanqi ,1642,1715,Dwelling in the Mountain,1711,Works on Paper,"May 05, 2017",Xiling Yinshe Hangzhou,2017 Shaoxing Spring Auction,"43,470","72,450",N/A,
Wang Yuanqi ,1642,1715,Landscape after Huang Gongwang,1713,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"257,199","385,800",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscrpe,N/A,Works on Paper,"March 20, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","2,500","5,000",N/A,Bought In
Wang Yuanqi ,1642,1715,Living in the Mountains,1713,Works on Paper,"March 14, 2017",Christie's New York,Fine Chinese Paintings,"35,000","50,000",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 18, 2016",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","8,000","20,000",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"101,570","145,100","116,805",Premium
Wang Yuanqi ,1642,1715,Landscape,1701,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"94,315","123,335",N/A,Bought In
Wang Yuanqi ,1642,1715,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,733,"1,173","1,349",Premium
Wang Yuanqi ,1642,1715,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,674,Premium
Hu Peiheng ,1892,1965,[Untitled],N/A,Works on Paper,"November 10, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Leisure - A Scholar and His Era Special,"14,720","29,440","28,777",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,497","7,495",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","1,551",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","19,824",Premium
Wang Yuanqi ,1642,1715,Landscape after Huang Gongwang,1681,Works on Paper,"September 15, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"8,000","12,000","23,750",Premium
Wang Yuanqi ,1642,1715,A Misty Day amid Hills and Streams,1680,Works on Paper,"September 14, 2016",Sotheby's New York,The Roy and Marilyn Papp Collection of Chinese Paintings,"55,000","75,000","225,000",Premium
Wang Yuanqi ,1642,1715,Landscape of Yushan,1689,Works on Paper,"September 14, 2016",Sotheby's New York,The Roy and Marilyn Papp Collection of Chinese Paintings,"350,000","550,000","2,110,000",Premium
Wang Yuanqi ,1642,1715,Endless mountains,1662,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"9,061","12,082","13,025",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"1,215","2,278","1,215",Premium
Wang Yuanqi ,1642,1715,Paysage montagneux,N/A,Works on Paper,"June 10, 2016",Ader Paris,Extrême-orient,337,450,N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,1693,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"35,036",Premium
Wang Yuanqi ,1642,1715,Landscape,1698,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"121,864","182,797",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"83,782","121,864",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,1694,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"22,849","38,082",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"989,827","1,294,389","1,138,301",Premium
Wang Yuanqi ,1642,1715,Thatched House by Riverside,1700,Works on Paper,"May 30, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"38,612","64,353","48,265",Premium
Wang Hui ,1632,1717,Landscape,N/A,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"2,575","5,150","47,097",Premium
Wang Yuanqi ,1642,1715,Mountain and Stream,N/A,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,"64,376","103,002",N/A,Bought In
Attributed to Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"May 12, 2016",Bonhams London,Fine Chinese Art,"4,333","7,223","8,126",Premium
Wang Yuanqi ,1642,1715,Forest and canyon,N/A,Works on Paper,"April 09, 2016",Xiling Yinshe Hangzhou,2016 Shaoxing Spring Auction,"12,375","18,563","85,392",Premium
After Wang Meng ,1309,1385,Landscape,N/A,Works on Paper,"April 04, 2016",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"644,881","902,834","791,398",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"5,362","8,427","6,167",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,459,919,"1,762",Premium
Wang Yuanqi ,1642,1715,Landscape after Huang Gongwang,1701,Works on Paper,"March 17, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"30,000","40,000","274,000",Premium
Wang Yuanqi ,1642,1715,Autumn landscape,N/A,Works on Paper,"March 17, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"60,000","90,000","75,000",Premium
Wang Yuanqi ,1642,1715,Landscape after Huang Gongwang and Dong Qichang,1703,Works on Paper,"March 17, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"10,000","15,000","18,750",Premium
After Huang Gongwang ,1269,1354,Landscape,1714,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"278,280","386,499","408,916",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,463,927,"1,243",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,317","3,863","2,665",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,317","3,863",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,772,"1,236","2,665",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,236","2,317","2,132",Premium
Wang Yuanqi ,1642,1715,Landscape,1702,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,"187,552","234,440",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy Evening Sale,"156,467","187,761","179,937",Premium
Attributed to Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"November 28, 2015",Bonhams Hong Kong,Fine Chinese Paintings,"7,740","11,610",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,1703,Works on Paper,"November 16, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Classical Chinese Painting and Calligraphy,"597,127","754,266","686,696",Premium
Wang Yuanqi ,1642,1715,Landscape,1703,Works on Paper,"November 16, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Classical Chinese Painting and Calligraphy,"28,284","43,998","32,527",Premium
After Cao Yunxi ,1272,1355,Landscape,N/A,Works on Paper,"October 05, 2015",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"232,273","283,890",N/A,Bought In
After Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"October 05, 2015",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"2,580","6,452","3,806",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"3,934","7,081",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,1698,Works on Paper,"September 11, 2015",Xiling Yinshe Hangzhou,Shao xing 2015 Autumn Auction,"3,926","7,852",N/A,Withdrawn
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,032","7,259",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"5,646","8,872",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"5,646","8,872",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,935","3,548",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,1714,Works on Paper,"June 20, 2015",Hosane Shanghai,2015 Spring Auction,"4,833","6,444",N/A,Bought In
Attributed to Wang Yuanqi ,1642,1715,Paysage,1703,Works on Paper,"June 09, 2015",Christie's Paris,Art d'Asie,"5,640","7,896","28,202",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 05, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy Evening Sale,"1,938,266","2,907,399","2,786,257",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"June 05, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy Evening Sale,"258,435","419,957","817,302",Premium
Wang Yuanqi ,1642,1715,Landscape,1708,Works on Paper,"June 05, 2015",Poly International Auction Beijing,Paintings Collection of Huai En Shan Fang,"40,380","80,761",N/A,Bought In
Wang Yuanqi ,1642,1715,Autumn Landscape after Huang Gongwang,1709,Works on Paper,"June 01, 2015",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"51,595","77,393","500,475",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"May 28, 2015",Poly International Auction Hong Kong,Delightful Pleasure - Chinese Painting and Calligraphy,"32,232","38,679",N/A,Bought In
Qin Zuyong ,1825,1884,Landscape,N/A,Works on Paper,"April 07, 2015",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"10,319","12,899",N/A,Bought In
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,909","4,525","3,345",Premium
Wang Yuanqi ,1642,1715,Landscape After Wang Meng,N/A,Works on Paper,"March 19, 2015",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"20,000","40,000","62,500",Premium
Wang Yuanqi ,1642,1715,Landscape After Huang Gongwang,1710,Works on Paper,"March 19, 2015",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"250,000","300,000","370,000",Premium
Attributed to Wang Yuanqi ,1642,1715,Autumn Landscape,N/A,Works on Paper,"March 19, 2015",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"3,000","5,000","32,500",Premium
Wang Yuanqi ,1642,1715,Untitled,N/A,Works on Paper,"January 25, 2015",Poly International Auction Beijing,Spring Greeting - Chinese Paintings & Calligraphy,"44,716","55,895","51,423",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 21, 2014",China Guardian  Beijing,40th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,608","3,217","1,850",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 21, 2014",China Guardian  Beijing,40th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,827","9,654","5,551",Premium
Wang Yuanqi ,1642,1715,Landscape,N/A,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"19,404","24,255","65,084",Premium
Wang Yuanqi ,1642,1715,Landscape,1704,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"291,060","404,250","613,651",Premium
Wang Yuanqi ,1642,1715,Thatched house in mountain,1703,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"113,190","145,530","145,044",Premium
Wang Yuanqi ,1642,1715,Spring mountains,1709,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"291,060","404,250","334,719",Premium
Wang Yuanqi ,1642,1715,Landscape,1700,Works on Paper,"December 03, 2014",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"32,529","48,794","59,854",Premium
