Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wen Zhengming ,1470,1559,Calligraphy in running script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"205,120","282,040","351,268",Premium
Wen Zhengming ,1470,1559,Poems in running script,1543,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"25,640","32,050","67,305",Premium
Wen Zhengming ,1470,1559,Calligraphy in running script,1530,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"487,160","538,440","935,860",Premium
Tang Yin ,1470,1523,Flowers,1535,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"769,200","1,025,600","2,628,100",Premium
Wen Zhengming ,1470,1559,Fishing in reclusion,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"30,768","38,460",N/A,Bought In
Attributed to Wen Zhengming ,1470,1559,Landscape,N/A,Works on Paper,"September 16, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"1,000","2,000","4,000",Premium
Attributed to Wen Zhengming ,1470,1559,Early spring,N/A,Works on Paper,"September 12, 2017",Christie's New York,Fine Chinese Paintings,"35,000","45,000",N/A,Bought In
Wen Zhengming ,1470,1559,Painting of water buffalo and cowboys,N/A,Works on Paper,"August 31, 2017",888 Auctions Inc. Ontario,"Modern Art, Jewelry, Stamps & Chinese Bronzes",600,"1,200",300,Hammer
Wen Zhengming ,1470,1559,A sitting scholar,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"175,560","219,450",N/A,Bought In
Qiu Ying Circa ,1495,1551,Painting and calligraphy of the romance of the west chamber,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"4,389","7,315","5,047",Premium
Qiu Ying Circa ,1495,1551,Ten palaces and inscription,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"102,410","131,670",N/A,Bought In
Attributed to Wen Zhengming ,1470,1559,Figure,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"7,355","11,768","9,304",Premium
Wen Zhengming ,1470,1559,Peach blossoms,1544,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"4,113,200","5,582,200","5,321,452",Premium
Wen Zhengming ,1470,1559,Calligraphy,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"51,320","76,980","120,281",Premium
Dong Qichang ,1555,1636,"Landscapes, Flowers and Calligraphy",N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"513,200","769,800",N/A,Bought In
Wen Zhengming ,1470,1559,Landscape,N/A,Works on Paper,"May 28, 2017",Poly International Auction Hong Kong,The Beauty of Brushes - A Selection of Chinese Paintings and Calligraphy [3],N/A,N/A,"1,059",Premium
Wen Zhengming ,1470,1559,Mountain water,N/A,Works on Paper,"May 28, 2017",Seoul Auction Seoul,22nd Hong Kong Sale,"450,000","1,350,000",N/A,Bought In
