Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wu Bin Circa ,1545,1620,Figure,N/A,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"290,400","508,200","584,430",Premium
Wu Bin Circa ,1545,1620,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"7,335","11,736",N/A,Bought In
Wu Bin Circa ,1545,1620,Landscape,N/A,Works on Paper,"December 18, 2015",Hosane Shanghai,2015 Autumn Auction,"11,585","13,130","13,856",Premium
Wu Bin Circa ,1545,1620,Character and Landscape,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"5,646","8,872",N/A,Bought In
Wu Bin Circa ,1545,1620,Landscape,1615,Works on Paper,"June 06, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy,"24,180","40,300",N/A,Bought In
Wu Bin Circa ,1545,1620,Landscape,N/A,Works on Paper,"June 05, 2015",Poly International Auction Beijing,Paintings Collection of Huai En Shan Fang,"40,380","80,761","74,300",Premium
Wu Bin Circa ,1545,1620,Landscape,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,939","3,555","3,345",Premium
Wu Bin Circa ,1545,1620,Untitled,N/A,Works on Paper,"January 25, 2015",Poly International Auction Beijing,Spring Greeting - Chinese Paintings & Calligraphy,"3,194","4,791",N/A,Bought In
Wu Bin Circa ,1545,1620,Tributing to Buddha,N/A,Works on Paper,"May 18, 2014",China Guardian  Beijing,China Guardian 2014 Spring Auctions - Grand View: Chinese Painting Highlight- Classical,"609,520","769,919",N/A,Bought In
Wu Bin Circa ,1545,1620,Autumn colours,N/A,Works on Paper,"April 06, 2014",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"103,119","128,899",N/A,Bought In
Wu Bin Circa ,1545,1620,Character and Landscape,N/A,Works on Paper,"March 25, 2014",China Guardian  Beijing,37th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,286","1,929","29,587",Premium
