Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Wu Zhen ,1280,1354,Landscape,N/A,Circa 1353 Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"7,569","11,353",N/A,
Attributed to Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"3,784","6,055",N/A,
Attributed to Wu Zhen ,1280,1354,Pavilion amidst the clouds,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"15,384","28,204","20,832",Premium
Wu Zhen ,1280,1354,Bamboo,1348,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"147,100","264,780","169,165",Premium
Wu Zhen ,1280,1354,Ink Bamboo,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"7,355","11,768","8,458",Premium
Wu Zhen ,1280,1354,Ink bamboo,1352,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"257,199","385,800","321,500",Premium
Wu Zhen ,1280,1354,Studio among streams and mountains,1344,Works on Paper,"March 16, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"800,000","1,000,000",N/A,Bought In
Wu Zhen ,1280,1354,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,674,Premium
Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,497","7,495","29,305",Premium
Wu Zhen ,1280,1354,Bamboo and Rock,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","12,411",Premium
Style of Wu Zhen ,1280,1354,Tuschebambus und Kalligraphie,N/A,Works on Paper,"May 06, 2016",Nagel Auktionen Stuttgart,Asiatische Kunst,"9,123","13,685","22,809",Hammer
Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"1,225","1,838","2,643",Premium
Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,766,"1,225","3,171",Premium
Attributed to Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"2,000","3,000","9,375",Premium
Style of Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"November 30, 2015",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"10,322","12,903","15,322",Premium
Attributed to Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"October 07, 2015",China Guardian Hong Kong,China Guardian Hong Kong 2015 Autumn Auctions - Chinese Painting and Calligraphy from the Four Seas (III),"90,328","116,136",N/A,Bought In
Attributed to Wu Zhen ,1280,1354,Gazing Waves Among Lofty Mountain,N/A,Works on Paper,"October 05, 2015",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"10,323","15,484","67,746",Premium
Wu Zhen ,1280,1354,Landscape,1352,Works on Paper,"June 06, 2015",Poly International Auction Beijing,Ancient Chinese Paintings and Calligraphy,"96,720","128,960",N/A,Bought In
After Wu Zhen ,1280,1354,Landscape,N/A,Works on Paper,"April 07, 2015",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"12,899","15,479",N/A,Bought In
Attributed to Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"March 18, 2015",Christie's New York,"The Collection of Robert Hatfield Ellsworth Part II: Chinese Furniture, Works of Art and Chinese Paintings",N/A,N/A,"43,750",Premium
Wu Zhen ,1280,1354,Bamboo,N/A,Works on Paper,"December 21, 2014",China Guardian  Beijing,40th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"3,217","6,435","5,551",Premium
Wu Zhen ,1280,1354,Ink Bamboo,N/A,Works on Paper,"December 03, 2014",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"195,176","292,764",N/A,Bought In
Attributed to Wu Zhen ,1280,1354,Bamboos,N/A,Works on Paper,"August 19, 2014",James D. Julia Auctioneers Fairfield,"Fine Art, Asian & Antiques Auction","1,000","1,500","1,126",Premium
Wu Zhen ,1280,1354,Untitled,N/A,Works on Paper,"October 27, 2013",Poly International Auction Beijing,The 24th Fine Art Auction: Carnival - Chinese Classic Painting & Calligraphy,"3,288","8,220","6,049",Premium
Wu Zhen ,1280,1354,Landscape,N/A,Works on Paper,"September 17, 2013",China Guardian  Beijing,35th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy (II),"4,902","9,804","7,892",Premium
Wu Zhen ,1280,1354,Pine tree,N/A,Works on Paper,"June 05, 2013",Poly International Auction Beijing,2013 Spring Auction - Classical Chinese Paintings and Calligraphy,"8,144","13,032","63,693",Premium
Wu Zhen ,1280,1354,Landscape,N/A,Works on Paper,"March 25, 2013",China Guardian  Beijing,33rd China Guardian Quarterly Auctions - Chinese Painting and Calligraphy XI,"2,412","4,020","2,773",Premium
Wu Zhen ,1280,1354,Ink Bamboo,N/A,Works on Paper,"March 25, 2013",China Guardian  Beijing,33rd China Guardian Quarterly Auctions - Chinese Painting and Calligraphy XI,"64,320","96,480",N/A,Bought In
Wu Zhen ,1280,1354,Ink Bamboo,N/A,Works on Paper,"December 17, 2012",China Guardian  Beijing,32nd China Guardian Quarterly Auction - Chinese Painting and Calligraphy (V),801,"1,282","5,530",Premium
Wu Zhen ,1280,1354,Plum And Bamboo,N/A,Works on Paper,"December 17, 2012",China Guardian  Beijing,32nd China Guardian Quarterly Auction - Chinese Painting and Calligraphy (V),"1,923","3,526",N/A,Bought In
