Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
N/A,N/A,N/A,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"2,361",Premium
N/A,N/A,N/A,Calling on a friend,N/A,Paintings,"September 29, 2016",Xiling Yinshe Hangzhou,Shao Xing 2016 Autumn Auction,"7,495","10,493","8,619",Premium
N/A,N/A,N/A,Visiting friend,N/A,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"7,551","10,571","8,683",Premium
N/A,N/A,N/A,Winter Landschaft,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"2,284,217","3,807,029","4,115,398",Premium
N/A,N/A,N/A,Landscape,N/A,Works on Paper,"December 08, 2015",Poly International Auction Beijing,Chinese Classical Paintings and Calligraphy,781,"1,562","86,274",Premium
N/A,N/A,N/A,Album of Four Leaves,N/A,Works on Paper,"October 05, 2015",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"774,245","1,032,327",N/A,Bought In
N/A,N/A,N/A,Fisherman returning to Shore in a Storm,N/A,Works on Paper,"September 16, 2014",Christie's New York,Fine Chinese Paintings,"40,000","50,000","497,000",Premium
N/A,N/A,N/A,Travelling in autumn mountains,N/A,Works on Paper,"May 03, 2014",Xiling Yinshe Hangzhou,2014 Spring Auction,"15,980","19,176",N/A,Bought In
N/A,N/A,N/A,Landscape,N/A,Works on Paper,"March 20, 2014",Council Beijing,Spring Auction,N/A,N/A,N/A,Bought In
N/A,N/A,N/A,Landscape,N/A,Works on Paper,"September 17, 2013",China Guardian  Beijing,35th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy (I),490,980,"46,977",Premium
N/A,N/A,N/A,Charcter And Landscape,N/A,Works on Paper,"December 17, 2012",China Guardian  Beijing,32nd China Guardian Quarterly Auction - Chinese Painting and Calligraphy (V),480,961,"15,116",Premium
N/A,N/A,N/A,[Untitled],N/A,Works on Paper,"January 09, 2012",Poly International Auction Beijing,The 17th Fine Artwork Auction- Chinese Painting and Calligraphy Part I,"3,168","6,336","10,200",Premium
N/A,N/A,N/A,[Untitled],N/A,Works on Paper,"January 09, 2012",Poly International Auction Beijing,The 17th Fine Artwork Auction- Chinese Painting and Calligraphy Part I,"1,584","3,168","1,821",Premium
N/A,N/A,N/A,Landscape,N/A,Works on Paper,"June 04, 2011",Poly International Auction Beijing,2011 Spring Auction- Classical Chinese Paintings And Calligraphy Evening Sale,"1,234,663","1,543,329","1,419,862",Premium
N/A,N/A,N/A,Untitled,N/A,Works on Paper,"November 20, 2010",Poly International Auction Beijing,"12th Fine Arts Auction,Chinese Ancient Paintings & Calligraphy (II)",N/A,N/A,"18,555",Premium
N/A,N/A,N/A,[Untitled],N/A,Works on Paper,"September 13, 2009",Poly International Auction Beijing,2009 Mid-Summer & 8th Fine Arts Auction- Chinese Classical Paintings and Calligraphies,"4,100","5,565","11,481",Premium
N/A,N/A,N/A,Traveling in Summer Mountains,N/A,Works on Paper,"December 05, 2008",Poly International Auction Beijing,2008 Autumn Auction- Chinese Ancient Painting and Calligraphy,"4,363","7,273",N/A,Bought In
N/A,N/A,N/A,Landscape album,N/A,Works on Paper,"May 30, 2008",Poly International Auction Beijing,2008 Spring Auctions-Chinese Ancient Painting and Calligraphy Auction II,"1,728","2,593","12,102",Premium
N/A,N/A,N/A,Yangtse river. Ten thousand miles on Changjiang,N/A,Works on Paper,"May 30, 2003",Nagel Auktionen Stuttgart,Asian Art,941,"1,176","2,353",Hammer
N/A,N/A,N/A,Watching waterfall in spring,N/A,Works on Paper,"March 27, 1996",Christie's New York,Fine Chinese Paintings & Calligraphy,N/A,N/A,"38,000",Hammer
