Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Xiang Yuanbian ,1525,1590,Old pine trees,1965,Works on Paper,"June 27, 2017",Bonhams San Francisco,Fine Asian Works of Art,"8,000","12,000",N/A,Bought In
Xiang Yuanbian ,1525,1590,Recluse along the Creek,N/A,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"15,467","23,201","33,836",Premium
Xiang Yuanbian ,1525,1590,Haleurs,1574,Works on Paper,"June 21, 2016",Christie's Paris,Art d'Asie,"5,629","7,881","7,037",Premium
Attributed to Xiang Yuanbian ,1525,1590,Tree and Rock,1576,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"1,500","3,000","13,750",Premium
Xiang Yuanbian ,1525,1590,"Plum, Bamboo and Orchid",N/A,Works on Paper,"May 18, 2015",China Guardian  Beijing,China Guardian 2015 Spring Auctions - Classical Chinese Painting and Calligraphy,"32,278","80,695","37,120",Premium
Attributed to Xiang Yuanbian ,1525,1590,Tree and Rock,1576,Works on Paper,"March 18, 2015",Christie's New York,"The Collection of Robert Hatfield Ellsworth Part II: Chinese Furniture, Works of Art and Chinese Paintings",N/A,N/A,"30,000",Premium
Xiang Yuanbian ,1525,1590,Calligraphy in Running Script,N/A,Works on Paper,"November 22, 2014",China Guardian  Beijing,China Guardian 2014 Autumn Auctions - Classical Chinese Painting and Calligraphy,"29,376","45,696",N/A,Bought In
Xiang Yuanbian ,1525,1590,Ink Bamboo,N/A,Works on Paper,"November 22, 2014",China Guardian  Beijing,China Guardian 2014 Autumn Auctions - Classical Chinese Painting and Calligraphy,"29,376","45,696",N/A,Bought In
Xiang Yuanbian ,1525,1590,Landscape,N/A,Works on Paper,"June 22, 2014",China Guardian  Beijing,38th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"6,428","9,642","7,392",Premium
Xiang Yuanbian ,1525,1590,Landscape,1576,Works on Paper,"May 25, 2014",Bonhams Hong Kong,Chinese Paintings and Calligraphy,"25,800","32,250",N/A,Bought In
Xiang Yuanbian ,1525,1590,Old trees,N/A,Works on Paper,"May 03, 2014",Xiling Yinshe Hangzhou,2014 Spring Auction,"31,960","47,940","36,754",Premium
Xiang Yuanbian ,1525,1590,Flower,N/A,Works on Paper,"December 03, 2013",Poly International Auction Beijing,2013 Autumn Auction: The Collection of Fan Paintings of Xiaowanliu Hall Evening Sale,"45,948","82,050","86,808",Premium
Xiang Yuanbian ,1525,1590,Flowers,N/A,Works on Paper,"October 06, 2013",Poly International Auction Hong Kong,Classical Chinese Paintings and Calligraphy,"2,580","3,870","10,384",Premium
Xiang Yuanbian ,1525,1590,Landscape,N/A,Works on Paper,"May 26, 2013",Poly International Auction Hong Kong,Delightful Harmony - Fine Modern and Classical Chinese Paintings and Calligraphy,N/A,N/A,"1,184",Premium
Xiang Yuanbian ,1525,1590,Scene,N/A,Works on Paper,"April 06, 2013",Poly International Auction Hong Kong,2013 Spring Auction,"10,304","15,456","16,293",Hammer
Xiang Yuanbian ,1525,1590,Orchid And Bamboo,N/A,Works on Paper,"March 25, 2013",China Guardian  Beijing,33rd China Guardian Quarterly Auctions - Chinese Painting and Calligraphy XI,"1,286","1,929","2,773",Premium
Xiang Yuanbian ,1525,1590,Untitled,N/A,Works on Paper,"October 29, 2012",Poly International Auction Beijing,The 20th Fine Artwork Auction - Lai Yi - Ancient Paintings & Calligraphies,N/A,N/A,"1,840",Premium
Xiang Yuanbian ,1525,1590,Untitled,N/A,Works on Paper,"October 29, 2012",Poly International Auction Beijing,The 20th Fine Artwork Auction - Lai Yi - Ancient Paintings & Calligraphies,N/A,N/A,"5,888",Premium
Xiang Yuanbian ,1525,1590,Landscape,N/A,Works on Paper,"June 18, 2012",China Guardian  Beijing,30th China Guardian Quarterly Auction - Chinese Painting and Calligraphy VI,471,943,542,Premium
Xiang Yuanbian ,1525,1590,The bamboo and rock,N/A,Works on Paper,"May 31, 2012",Council Beijing,Spring 2012 Auction,"6,292","7,865",N/A,Bought In
Xiang Yuanbian ,1525,1590,[Untitled],N/A,Works on Paper,"April 23, 2012",Poly International Auction Beijing,The 18th Fine Artwork Auction - Chinese Paintings & Calligraphy V,"3,168","4,752","5,100",Premium
Xiang Yuanbian ,1525,1590,Landscape,N/A,Works on Paper,"March 26, 2012",China Guardian  Beijing,29th China Guardian Quarterly Auction - Chinese Painting and Calligraphy XI,"4,752","9,504",N/A,Bought In
Xiang Yuanbian ,1525,1590,[Untitled],N/A,Works on Paper,"January 09, 2012",Poly International Auction Beijing,The 17th Fine Artwork Auction- Chinese Painting and Calligraphy Part I,792,"1,267",N/A,Bought In
Xiang Yuanbian ,1525,1590,Osmanthus,N/A,Works on Paper,"November 28, 2011",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"6,415","8,981","51,320",Premium
Xiang Yuanbian ,1525,1590,Painting after Ni Yunlin,N/A,Works on Paper,"June 06, 2011",Council Beijing,Spring 2011 Auction,"46,299","61,732","51,469",Premium
Xiang Yuanbian ,1525,1590,Untitled,N/A,Works on Paper,"April 21, 2011",Poly International Auction Beijing,14th Fine Art Auction- Chinese Paintings and Calligraphy IV,"3,080","4,621","3,897",Premium
Xiang Yuanbian ,1525,1590,Landscape,N/A,Works on Paper,"March 19, 2011",China Guardian  Beijing,25th China Guardian Quarterly Auction,"1,217","2,283",N/A,Bought In
Xiang Yuanbian ,1525,1590,Osmanthus,N/A,Works on Paper,"November 30, 2010",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"6,440","9,016","103,040",Premium
Xiang Yuanbian ,1525,1590,Hermit Playing Zither in Mountain,N/A,Works on Paper,"November 21, 2010",China Guardian  Beijing,2010 Autumn Auctions -Treasures Through Six Generations -Classical Chinese Painting And Calligraphy from the Weng Collection,"301,142","361,370","337,279",Premium
Xiang Yuanbian ,1525,1590,[Untitled],N/A,Works on Paper,"December 21, 2009",Poly International Auction Beijing,9th Fine Arts Auctions- Chinese Classical Painting And Calligraphies,"4,392","7,321",N/A,Bought In
Xiang Yuanbian ,1525,1590,Summer mountain,N/A,Works on Paper,"June 25, 2009",Council Beijing,Spring 2009 Auction,"32,190","36,579","36,053",Premium
Xiang Yuanbian ,1525,1590,Landscape with Buddhist interest,N/A,Works on Paper,"December 07, 2008",Council Beijing,Autumn 2008 Auction,"72,706","87,247","260,578",Premium
Xiang Yuanbian ,1525,1590,Lotus,N/A,Works on Paper,"November 28, 2005",Christie's Hong Kong,Classical Chinese Paintings & Calligraphy,"7,740","10,320","6,450",Hammer
Xiang Yuanbian ,1525,1590,Waterfall in the autumn rain after Wang Meng,1577,Works on Paper,"November 03, 1997",Christie's Hong Kong,Fine Classical Chinese Paintings,"12,939","15,527","12,292",Hammer
Xiang Yuanbian ,1525,1590,"Chrysanthemum, bamboo and rock",N/A,Works on Paper,"April 10, 1994",Sotheby's Taipei,Chinese Oil Paintings & Watercolours from the Dingyuanzhai Collect,N/A,N/A,"41,690",Hammer
