Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Hxu Wei ,1521,1593,Lotus,1867,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"20,000","40,000","112,500",Premium
Hxu Wei ,1521,1593,Flowers and Calligraphy,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"10,311","12,889","262,956",Premium
Hxu Wei ,1521,1593,Peony,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","6,550",Premium
Hxu Wei ,1521,1593,Grapes,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,998","5,996",N/A,Bought In
Hxu Wei ,1521,1593,Sleeping under pine tree,N/A,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"7,551","12,082","95,523",Premium
Hxu Wei ,1521,1593,"Bamboo, Stone and Narcissus",N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"70,072",Premium
Hxu Wei ,1521,1593,Chrysanthemum and Rock,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,766,"1,225","5,638",Premium
Hxu Wei ,1521,1593,Calligraphy,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"7,726","12,361",N/A,Bought In
Hxu Wei ,1521,1593,Wisteria,N/A,Works on Paper,"November 30, 2015",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"38,709","64,516","48,387",Premium
Hxu Wei ,1521,1593,Ink Peony,1592,Works on Paper,"November 16, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Classical Chinese Painting and Calligraphy,"785,694","911,405",N/A,Bought In
Hxu Wei ,1521,1593,Chrysanthemum and Rock,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,258","2,360","5,067",Premium
Hxu Wei ,1521,1593,Calligraphy,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,944,"1,888","3,257",Premium
Hxu Wei ,1521,1593,Relaxing under the tree,N/A,Works on Paper,"September 11, 2015",Xiling Yinshe Hangzhou,Shao xing 2015 Autumn Auction,"4,711","7,852","65,923",Premium
Hxu Wei ,1521,1593,Sleeping on blooms,N/A,Works on Paper,"September 11, 2015",Xiling Yinshe Hangzhou,Shao xing 2015 Autumn Auction,"4,711","7,852","59,602",Premium
Hxu Wei ,1521,1593,Calligraphy,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,839","8,065",N/A,Bought In
