Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Yang Wencong ,1596,1646,Temple in green mountain,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"10,000","20,000","12,500",Premium
Yang Wencong ,1596,1646,[Untitled],N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","1,500","3,000","7,000",Hammer
Yang Wencong ,1596,1646,Landscape after Xuwei,1629,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"88,140","117,520","101,361",Premium
Yang Wencong ,1596,1646,Landscape,1640,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"25,660","76,980","51,320",Premium
Yang Wencong ,1596,1646,Boat returning in the rain,1629,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"2,572","5,144","19,290",Premium
Attributed to Yang Wencong ,1596,1646,Landscape,1636,Works on Paper,"March 14, 2017",Christie's New York,Fine Chinese Paintings,"12,000","20,000","12,500",Premium
Yang Wencong ,1596,1646,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"87,060","116,080","100,119",Premium
Yang Wencong ,1596,1646,Landscape,N/A,Works on Paper,"October 03, 2016",Poly International Auction Hong Kong,Memories of The Past - Important Collection from Mr. Wang Boqun and The Republic Period,"103,119","154,679",N/A,Bought In
Yang Wencong ,1596,1646,Album of landscape paintings,1642,Works on Paper,"September 29, 2016",Xiling Yinshe Hangzhou,Shao Xing 2016 Autumn Auction,"8,994","10,493",N/A,Bought In
Yang Wencong ,1596,1646,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"17,988","26,982",N/A,Bought In
Yang Wencong ,1596,1646,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"7,495","11,992",N/A,Bought In
