Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Zhang Ruitu ,1576,1641,Li bai's poem in running script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"33,332","41,024",N/A,Bought In
Zhang Ruitu ,1576,1641,Wang Wei's poem in cursive script,N/A,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"23,076","28,204","28,845",Premium
Zhang Ruitu ,1576,1641,Moon and Mount,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"293,800","440,700","337,870",Premium
Zhang Ruitu ,1576,1641,Studying and Tutoring,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"76,980","128,300",N/A,Bought In
Zhang Ruitu ,1576,1641,Seven-character poem on fan,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"58,040","87,060","80,095",Premium
Zhang Ruitu ,1576,1641,Scholars in Landscape,1642,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"25,779","51,559",N/A,Bought In
Zhang Ruitu ,1576,1641,Five-character Poem in Running Script,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"90,229","116,009","193,349",Premium
Zhang Ruitu ,1576,1641,Calligraphy in Running Script,N/A,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"55,556","70,176",N/A,Bought In
Zhang Ruitu ,1576,1641,Calligraphy in Cursive Script,1631,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"293,600","440,400",N/A,Bought In
Zhang Ruitu ,1576,1641,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"2,024",Premium
Zhang Ruitu ,1576,1641,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"2,024",Premium
Zhang Ruitu ,1576,1641,Poem in Running Script,N/A,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"77,339","103,119","96,674",Premium
Zhang Ruitu ,1576,1641,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"22,485","37,475",N/A,Bought In
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"5,246","8,244","13,446",Premium
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"7,495","11,992",N/A,Bought In
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"11,992","17,988",N/A,Bought In
Zhang Ruitu ,1576,1641,Eighteen Luohan,N/A,Works on Paper,"September 15, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"500,000","700,000","2,230,000",Premium
Zhang Ruitu ,1576,1641,Distant mountains,1635,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"52,858","75,512","60,787",Premium
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"228,496","396,060",N/A,Bought In
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"60,912","91,368","87,561",Premium
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"60,912","91,368","70,049",Premium
Zhang Ruitu ,1576,1641,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"532,984","989,827","700,493",Premium
