Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Zhao Mengfu ,1254,1322,The sutra of complete enlightenment,1315,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"256,400","384,600",N/A,Bought In
Attributed to Zhao Mengfu ,1254,1322,[Untitled],N/A,Works on Paper,"September 17, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works Of Art, Fine Painting and Calligraphy","4,000","8,000",N/A,
Zhao Mengfu ,1254,1322,Painting of the scene of earthly heaven,N/A,Works on Paper,"August 31, 2017",888 Auctions Inc. Ontario,"Modern Art, Jewelry, Stamps & Chinese Bronzes",600,"1,200",N/A,Bought In
Attributed to Zhao Mengfu ,1254,1322,[Untitled],N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","1,500","3,000","2,800",Hammer
Zhao Mengfu ,1254,1322,Washing Horses,1341,Works on Paper,"March 15, 2017",Christie's New York,Important Chinese Art From the Fujita Museum,"500,000","700,000","4,503,500",Premium
Zhao Mengfu ,1254,1322,Landscape,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"4,672",Premium
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"116,080","174,120","216,924",Premium
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"29,020","43,530","83,432",Premium
Zhao Mengfu ,1254,1322,Running Script Calligraphy,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"7,733","10,311","77,339",Premium
Yao Yuanzhi ,1773,1852,Calligraphy,1823,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"2,924","5,848","15,131",Premium
Zhao Mengfu ,1254,1322,Dwelling in Spring Mountain,1309,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"175,440","263,160",N/A,Bought In
Zhao Mengfu ,1254,1322,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"1,855",Premium
Attributed to Zhao Mengfu ,1254,1322,Essay in Running Script,N/A,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"257,799","644,499",N/A,Bought In
Zhao Mengfu ,1254,1322,Louhan,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,899,"1,798","3,447",Premium
Zhao Mengfu ,1254,1322,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"14,990","29,980",N/A,Bought In
Zhao Mengfu ,1254,1322,Character and Horses,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,749,"1,199","6,550",Premium
Zhao Mengfu ,1254,1322,Character and Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"3,747","6,745",N/A,Bought In
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"11,992","17,988",N/A,Bought In
Attributed to Zhao Mengfu ,1254,1322,Calligraphy in Running Script,N/A,Works on Paper,"September 17, 2016",Sotheby's New York,Saturday at Sotheby's: Asian Art,"3,000","5,000","27,500",Premium
Zhao Mengfu ,1254,1322,Two figures and two horses under willow tree,N/A,Works on Paper,"September 17, 2016",Sloans & Kenyon Chevy Chase,September Estate Catalogue Auction,500,600,"4,300",Hammer
Attributed to Zhao Mengfu ,1254,1322,Poème de Tao Yuanming calligraphié de style courant,N/A,Works on Paper,"June 23, 2016",Sotheby's Paris,Arts d'Asie,"17,054","34,109","1,640,690",Premium
Zhao Mengfu ,1254,1322,Judging Horse,1298,Works on Paper,"June 06, 2016",Poly International Auction Beijing,Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"31,532",Premium
Zhao Mengfu ,1254,1322,Character and Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,459,919,"2,114",Premium
Zhao Mengfu ,1254,1322,Character and Landscape,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"1,532","3,064","8,810",Premium
Zhao Mengfu ,1254,1322,Character and Horse,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,"1,225","1,838","42,289",Premium
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"March 28, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Classical Chinese Painting and Calligraphy,306,612,"2,114",Premium
Attributed to Wang Jian ,1598,1677,Landscape,1668,Works on Paper,"March 22, 2016",Lyon & Turnbull Edinburgh,Asian Art,"1,437","2,155","1,616",Premium
Attributed to Zhao Mengfu ,1254,1322,Groom and Horse,N/A,Works on Paper,"March 19, 2016",Sotheby's New York,Saturday at Sotheby's: Asian Art,"1,000","2,000","6,000",Premium
Zhao Mengfu ,1254,1322,Character,N/A,Works on Paper,"December 20, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,772,"1,236","5,686",Premium
Style of Zhao Mengfu ,1254,1322,Hundert Pferde und Führer,N/A,Works on Paper,"December 07, 2015",Nagel Auktionen Stuttgart,Asiatische Kunst,"10,883","16,325","11,972",Hammer
Attributed to Wang Jian ,1598,1677,Landscape,1668,Works on Paper,"December 01, 2015",Lyon & Turnbull Edinburgh,Fine Asian Works of Art - Cambridgeshire,"4,517","7,528",N/A,Bought In
Zhao Mengfu ,1254,1322,Character and Landscape,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"9,442","14,163","27,146",Premium
Zhao Mengfu ,1254,1322,Character and Horses,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,091","7,239","5,429",Premium
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"September 21, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,786,"1,573","2,171",Premium
Zhao Mengfu ,1254,1322,Calligraphy,N/A,Works on Paper,"June 28, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,806,"1,613",N/A,Bought In
Zhao Mengfu ,1254,1322,Figures,N/A,Works on Paper,"June 20, 2015",Hosane Shanghai,2015 Spring Auction,"56,385","64,440",N/A,Bought In
Zhao Mengfu ,1254,1322,Character and Horse,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,939","3,555",N/A,Bought In
Zhao Mengfu ,1254,1322,Horses,N/A,Works on Paper,"April 03, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"9,697","14,546",N/A,Bought In
