Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Zhao Zhiqian ,1829,1884,Letter,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"19,230","25,640","128,200",Premium
Zhao Zhiqian ,1829,1884,Grapevine,1869,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"192,300","256,400","304,475",Premium
Zhao Zhiqian ,1829,1884,Autumn Tree,N/A,Works on Paper,"May 05, 2017",Xiling Yinshe Hangzhou,2017 Shaoxing Spring Auction,"7,245","10,143",N/A,
Zhao Zhiqian ,1829,1884,Flowers,N/A,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"45,010","64,299","192,900",Premium
Qian Huian ,1833,1911,Figures and calligraphy,1869,Works on Paper,"December 17, 2016",Hosane Shanghai,2016 Autumn Auction,"1,437","2,874",N/A,Bought In
Zhao Zhiqian ,1829,1884,Letters,N/A,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,"21,765","36,275","25,029",Premium
Zhao Zhiqian ,1829,1884,Calligraphy,1880,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"1,334",Premium
Zhao Zhiqian ,1829,1884,Pomegranate and Chrysanthemum,N/A,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,"374,616","435,600",N/A,Bought In
Zhao Zhiqian ,1829,1884,Couplet Couplet,1861,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"58,080","116,160","233,772",Premium
Zhao Zhiqian ,1829,1884,Letters,N/A,Works on Paper,"November 28, 2016",China Guardian Hong Kong,China Guardian HK 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"32,224","38,669",N/A,Bought In
Zhao Zhiqian ,1829,1884,Seven-Character Couplet in Running Script,N/A,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"26,316","40,936",N/A,Bought In
Zhao Zhiqian ,1829,1884,Seven-Character Couplet in Clerical Scrip,1869,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"99,416","128,656",N/A,Bought In
Zhao Zhiqian ,1829,1884,Pine,N/A,Works on Paper,"November 14, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"17,544","26,316",N/A,Bought In
Qi Baishi ,1864,1957,Collection of Fine Works,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,N/A,N/A,"52,334,200",Premium
Zhao Zhiqian ,1829,1884,Letters Collection,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"322,960","469,760","540,224",Premium
Zhao Zhiqian ,1829,1884,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"5,868","8,802",N/A,Bought In
Zhao Zhiqian ,1829,1884,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,506,Premium
Zhao Zhiqian ,1829,1884,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"4,107","7,335","4,723",Premium
Zhao Zhiqian ,1829,1884,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,843,Premium
Zhao Zhiqian ,1829,1884,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"2,200","4,401",N/A,Bought In
Zhao Zhiqian ,1829,1884,Calligraphy in Kaishu,N/A,Works on Paper,"October 04, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"154,679","232,019","675,435",Premium
Zhao Zhiqian ,1829,1884,Okra and Plantain Leaves,1866,Works on Paper,"October 04, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"103,119","154,679","128,899",Premium
Zhao Zhiqian ,1829,1884,Plum and Narcissus,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"1,199","2,248","1,723",Premium
Zhao Zhiqian ,1829,1884,Calligraphy,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,998","5,996","4,309",Premium
Zhao Zhiqian ,1829,1884,Flowers in four seasons,1870,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"755,127","1,208,203","1,424,170",Premium
Zhao Zhiqian ,1829,1884,Flowers,1869,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"27,184","37,756","71,208",Premium
Zhao Zhiqian ,1829,1884,Loquat Fruits,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"3,037","6,075",N/A,Bought In
Zhao Zhiqian ,1829,1884,Calligraphy,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"1,822","3,341",N/A,Bought In
Zhao Zhiqian ,1829,1884,Roses and poppies,N/A,Works on Paper,"May 30, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"23,167","28,315","112,619",Premium
