Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Zheng Xie ,1693,1765,Bamboos,N/A,Works on Paper,"September 17, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works Of Art, Fine Painting and Calligraphy","1,500","3,000",N/A,
Attributed to Zheng Xie ,1693,1765,Orchids and rocks,N/A,Works on Paper,"September 16, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,800,"1,200","1,250",Premium
Zheng Xie ,1693,1765,Bamboo,N/A,Works on Paper,"September 14, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"40,000","60,000","106,250",Premium
Zheng Xie ,1693,1765,Orchid and bamboo,1757,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"263,340","365,750","302,841",Premium
Zheng Xie ,1693,1765,Bamboo,1765,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"877,800","1,316,700","1,615,152",Premium
Zheng Xie ,1693,1765,[Untitled],N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","4,000","8,000",N/A,Bought In
Attributed to Zheng Xie ,1693,1765,Bamboo,N/A,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"1,000","1,500",N/A,Bought In
Zheng Xie ,1693,1765,Bamboo And Stone,N/A,Works on Paper,"June 06, 2017",Poly International Auction Beijing,Connoisseurship In Ancient Arts: Chinese Classical Paintings And Calligraphy Day Sale,"44,130","73,550","50,749",Premium
Zheng Xie ,1693,1765,Bamboo,1762,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"2,203,500","3,672,500","4,645,712",Premium
Zheng Xie ,1693,1765,Bamboo,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"76,980","102,640","96,225",Premium
Zheng Xie ,1693,1765,Bamboo and Rock,N/A,Works on Paper,"May 29, 2017",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"102,640","128,300","346,410",Premium
Zheng Xie ,1693,1765,Ink bamboo,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"12,860","16,718",N/A,Bought In
Attributed to Zheng Xie ,1693,1765,Rock and bamboo,N/A,Works on Paper,"March 20, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","1,000","2,000",N/A,Bought In
Attributed to Zheng Xie ,1693,1765,Bamboo and rock,N/A,Works on Paper,"March 18, 2017",Sotheby's New York,Saturday at Sotheby's: Asian Art,"1,000","3,000","5,250",Premium
Zheng Xie ,1693,1765,Bamboo,N/A,Works on Paper,"December 18, 2016",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","20,000","40,000","26,000",Hammer
Attributed to Zheng Xie ,1693,1765,Yellow flowers,N/A,Works on Paper,"December 18, 2016",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","1,800","4,000","1,800",Hammer
Zheng Xie ,1693,1765,Pflaumenblüte,N/A,Works on Paper,"December 09, 2016",Nagel Auktionen Stuttgart,Asiatische Kunst,N/A,N/A,N/A,Bought In
Zheng Xie ,1693,1765,Bamboo,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"25,779","38,669","56,393",Premium
