Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Bada Shanren ,1626,1705,[Untitled],N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,756,"2,270",N/A,
Bada Shanren ,1626,1705,Bai Juyi's poem in running script,1703,Works on Paper,"October 01, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"641,000","769,200","782,020",Premium
After Bada Shanren ,1626,1705,Flower and bird,1922,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"11,704","14,630","20,189",Premium
Attributed to Bada Shanren ,1626,1705,[Untitled],N/A,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","2,000","4,000","8,500",Hammer
Bada Shanren ,1626,1705,Landscape and flower,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - More Sublime When Looking Up: Chinese Classical Paintings And Calligraphy Evening Sale,"2,203,500","4,113,200","2,534,025",Premium
Style of Bada Shanren ,1626,1705,Calligraphy in the style of Bada Shanren,N/A,Works on Paper,"May 28, 2017",Poly International Auction Hong Kong,The Beauty of Brushes - A Selection of Chinese Paintings and Calligraphy [3],N/A,N/A,N/A,Bought In
Bada Shanren ,1626,1705,Geese under autumn willow,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"128,599","257,199",N/A,Bought In
Bada Shanren ,1626,1705,Deer in the moonlight,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Fine Classical Chinese Paintings,"154,320","231,480",N/A,Bought In
Bada Shanren ,1626,1705,"Flowers, Birds, Fish and Fruit",1703,Works on Paper,"March 16, 2017",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"2,500,000","3,500,000","3,132,500",Premium
Bada Shanren ,1626,1705,Calligraphy,1705,Works on Paper,"December 05, 2016",Poly International Auction Beijing,2016 Autumn Sales - Connoisseurship in Ancient Arts:Chinese Classical Paintings and Calligraphy Day Sale,N/A,N/A,"4,672",Premium
Bada Shanren ,1626,1705,Louts,N/A,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"174,240","261,360","200,376",Premium
Bada Shanren ,1626,1705,Landscapes and Flowers,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"257,799","386,699","5,122,485",Premium
Bada Shanren ,1626,1705,Bird and Sprig,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"128,899","257,799","128,899",Premium
Bada Shanren ,1626,1705,Ink Lotus,N/A,Works on Paper,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"257,799","386,699","781,133",Premium
Bada Shanren ,1626,1705,Poem in Running Script,N/A,Works on Paper,"November 28, 2016",China Guardian Hong Kong,China Guardian HK 2016 Autumn Auctions - Classical Chinese Painting and Calligraphy,"6,444","10,311","36,504",Premium
Bada Shanren ,1626,1705,Flower and Bird,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Classical,"5,578,400","7,046,400","6,415,160",Premium
Bada Shanren ,1626,1705,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"1,012",Premium
Bada Shanren ,1626,1705,[Untitled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,"7,335","11,736",N/A,Bought In
Bada Shanren ,1626,1705,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,506,Premium
Bada Shanren ,1626,1705,[Untitiled],N/A,Works on Paper,"November 11, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Memorize - A Fine Classic Chinese Paintings and Calligraphy Special,N/A,N/A,"1,180",Premium
Bada Shanren ,1626,1705,[Untitled],N/A,Works on Paper,"November 10, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Leisure - A Scholar and His Era Special,"117,760","176,640","262,384",Premium
Bada Shanren ,1626,1705,Landscape,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,998","5,996","3,447",Premium
Bada Shanren ,1626,1705,Bird,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"4,497","7,495",N/A,Bought In
Bada Shanren ,1626,1705,Bird,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,899,"1,798","3,102",Premium
Bada Shanren ,1626,1705,Fish and Orchid,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Classical Chinese Painting and Calligraphy,"2,998","5,996",N/A,Bought In
Bada Shanren ,1626,1705,"Rock, Bamboo and Ducks",N/A,Works on Paper,"September 15, 2016",Sotheby's New York,Fine Classical Chinese Paintings & Calligraphy,"380,000","480,000","466,000",Premium
Attributed to Bada Shanren ,1626,1705,Lotus and myna,N/A,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"3,020","4,530","24,315",Premium
After Bada Shanren ,1626,1705,Pine,N/A,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"3,020","4,530","5,210",Premium
Bada Shanren ,1626,1705,Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"18,226","27,339",N/A,Bought In
Bada Shanren ,1626,1705,Ducks,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),455,911,"1,518",Premium
Bada Shanren ,1626,1705,Deer,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"335,018","532,984","525,370",Premium
Bada Shanren ,1626,1705,Narcissus,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"152,281","304,562","455,320",Premium
Bada Shanren ,1626,1705,Sweet Potato,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"152,281","304,562","350,246",Premium
Bada Shanren ,1626,1705,Calligraphy,N/A,Works on Paper,"June 05, 2016",Poly International Auction Beijing,More Sublime When Looking Up Chinese Classical Paintings and Calligraphy Evening Sale,"1,522,811","2,284,217",N/A,Bought In
Bada Shanren ,1626,1705,Two Birds and a Tree,1701,Works on Paper,"May 30, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings & Calligraphy,"772,245","1,158,367",N/A,Bought In
Bada Shanren ,1626,1705,Calligraphy in Running Script,N/A,Works on Paper,"May 30, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings & Calligraphy,"38,612","64,353",N/A,Bought In
Bada Shanren ,1626,1705,Album of Natore,1684,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Classical Chinese Painting and Calligraphy,N/A,N/A,"9,902,404",Premium
