Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Arihide Sen,N/A,N/A,A Tortoise,N/A,Sculpture,"October 03, 2017",Christie's Hong Kong,The Pavilion Sale Chinese Ceramics and Works of Art,"7,692","10,256","10,416",Premium
Mitsumasa Saku 20th C,N/A,N/A,A Seated Hare,N/A,Sculpture,"October 03, 2017",Christie's Hong Kong,The Pavilion Sale Chinese Ceramics and Works of Art,"6,410","8,974",N/A,Bought In
Muneaki 20th C,N/A,N/A,A Snake,N/A,Sculpture,"October 03, 2017",Christie's Hong Kong,The Pavilion Sale Chinese Ceramics and Works of Art,"44,870","57,690",N/A,Bought In
Ju Ming ,1938,,Taichi Series - Single Whip,N/A,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"57,735","83,395","223,242",Premium
Ju Ming ,1938,,Taichi Series - Sparring,1981,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"243,770","384,900",N/A,Bought In
Ju Ming ,1938,,Taichi Series - Jaded Girl Shuttling Back & Forth,1988,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"128,300","192,450","128,300",Premium
Ju Ming ,1938,,Taichi Series - Preparation For Underarm Strike,1981,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"23,094","32,075","56,131",Premium
Ju Ming ,1938,,Taichi Series,1995,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"38,490","51,320","60,942",Premium
Hsu Tung-Lung ,1947,,Overlord,2014,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"15,396","33,358","56,131",Premium
Shinohara Ushio ,1932,,Motorcycle,N/A,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"7,698","15,396","9,622",Premium
Nobuo Sekine ,1940,,Phase Of Nothingness -From Pyramid To Pyramid,1976,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"19,245","32,075","24,056",Premium
Genpei Akasegawa ,1937,2014,Wrapped Bonsai,1963,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"5,388","8,339",N/A,Bought In
Chu Teh-Chun ,1920,2014,F35,2005,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"10,264","15,396",N/A,Bought In
Zao Wou-Ki ,1921,2013,Stèle N°4,2007,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"15,396","28,226",N/A,Bought In
Yoshitomo Nara ,1959,,"Quiet, Quiet",1999,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"384,900","641,500","392,598",Premium
Yoshitomo Nara ,1959,,Sleepless Night (Sitting),2007,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"30,792","41,056","88,206",Premium
Yayoi Kusama ,1929,,Pumpkin,1991,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"19,245","28,226","67,357",Premium
Yayoi Kusama ,1929,,"Life (A), (B)",1988,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"128,300","192,450",N/A,Bought In
Yayoi Kusama ,1929,,Strawberry,1974,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"7,698","10,264","12,830",Premium
Tatsuo Miyajima ,1957,,Changing Time With Changing Self No. 22,2001,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"6,415","8,981","12,830",Premium
Ai Weiwei ,1957,,Untitled,2006,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"192,450","256,600",N/A,Bought In
Lee Yong-Deok ,1956,,Ride A Bicycle 0554,2005,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"28,226","41,056",N/A,Bought In
Aya Takano ,1976,,Child Of Konpira: Pavilion In Landscape,2010,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"25,660","38,490","51,320",Premium
Li Chen ,1963,,Golden Palm,2010,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"83,395","121,885","160,375",Premium
Ikki Miyake ,1973,,Yoga - Axis,2016,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"38,490","64,150","67,357",Premium
Liu Dao founded 2006,N/A,N/A,Biomimesis,2011,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"15,396","23,094",N/A,Bought In
Fumio Yamazaki ,1974,,Silent Neighbors,2016,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"25,660","38,490",N/A,Bought In
Zhu Wei ,1966,,China China,2008,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"51,320","76,980","104,243",Premium
Tomohiro Inaba ,1984,,The Memory Of Comet - 05,2017,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"7,698","15,396","8,018",Premium
Yoshimasa Tsuchiya ,1977,,Phoenix,2016,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"23,094","35,924","30,471",Premium
Nozomu Uchida ,1987,,Survey Shark,2017,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"10,264","15,396","19,245",Premium
Chinatsu Ban ,1973,,Untitled (Orange With Butterflies),2005,Sculpture,"May 28, 2017",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"15,396","23,094","14,433",Premium
Kohei Nawa ,1975,,Pixcell-deer #10,2008,Sculpture,"May 27, 2017",Christie's Hong Kong,Asian 20th Century & Contemporary Art (Evening Sale),"230,940","359,240","438,786",Premium
Ju Ming ,1938,,Taichi Series - Single Whip,1999,Sculpture,"May 27, 2017",Christie's Hong Kong,Asian 20th Century & Contemporary Art (Evening Sale),"577,350","833,950","854,478",Premium
Li Chen ,1963,,Floating Heavenly Palace,2007,Sculpture,"May 27, 2017",Christie's Hong Kong,Asian 20th Century & Contemporary Art (Evening Sale),"359,240","487,540","1,008,438",Premium
Li Chen ,1963,,Sky,2012,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"30,888","45,045","80,437",Premium
Yoshitomo Nara ,1959,,The Puff Marshies Mini,2006,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"61,776","83,655","208,494",Premium
Yayoi Kusama ,1929,,Pumpkin,1998,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"23,166","46,332","93,307",Premium
Yayoi Kusama ,1929,,Yellow Pumpkin,1985,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"20,592","41,184","45,045",Premium
Kaws ,1974,,Companion,2007,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"25,740","38,610","96,525",Premium
Kaws ,1974,,Dissected Companion (Black),2009,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"10,296","15,444",N/A,Bought In
Kaws ,1974,,Dissected Companion (Grey),2009,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"10,296","15,444","35,392",Premium
Lee Kyung Mi ,1977,,Standing Astronaut Nana,2012,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"7,722","10,296","11,261",Premium
Ju Ming ,1938,,Taichi Series: Preparation for Underarm Strike,1982,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"102,960","128,700",N/A,Bought In
Ju Ming ,1938,,Living World Series,2006,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"74,646","87,516","96,525",Premium
Wang Keping ,1949,,Untitled (Little Woman),N/A,Circa 2002 Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"12,870","25,740","22,522",Premium
Marina Cruz ,1982,,Untitled,2008,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"9,009","12,870","13,674",Premium
Ronald Ventura ,1973,,Lunatic: Mouse,2010,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"15,444","23,166","35,392",Premium
Chiharu Shiota ,1972,,Trauma / Alltag (Trumpet),N/A,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"6,435","10,296","24,131",Premium
Matteo Negri ,1982,,L'Ego Mondrian - Orange Bridge,2014,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"5,148","10,296","19,305",Premium
Yayoi Kusama ,1929,,Strawberry 2,1974,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"7,078","10,939","17,696",Premium
Yayoi Kusama ,1929,,Strawberry,1974,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"4,504","8,365","8,043",Premium
Kaws ,1974,,Companion Karimoku Version,2001,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"10,296","19,305","28,957",Premium
Kaws ,1974,,No Future Companion (Hajime Sorayama Version),2008,Sculpture,"March 23, 2017",Christie's Hong Kong,First Open,"3,861","6,435","17,696",Premium
Wu Changshuo ,1844,1927,A Soapstone Seal,1917,Sculpture,"November 28, 2016",Christie's Hong Kong,Fine Chinese Classical Paintings and Calligraphy,"15,467","23,201","16,112",Premium
Yayoi Kusama ,1929,,Untitled,1966,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"193,349","257,799","286,157",Premium
Yayoi Kusama ,1929,,Pumpkin,1991,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"12,889","23,201","35,447",Premium
Yoshitomo Nara ,1959,,Dogs from your childhood,1999,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"515,599","644,499","703,793",Premium
Shinro Ohtake ,1955,,Retina shipyard,1990,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"128,899","257,799","232,019",Premium
Choe U Ram ,1970,,"Echo Navigo, Scientific Name: Anmorome Istiophorus Platyperus Uram",2004,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"51,559","77,339",N/A,Bought In
Li Chen ,1963,,Angelic smile,2010,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"83,784","122,454","177,237",Premium
Li Chen ,1963,,All in one,1998,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"38,669","64,449","51,559",Premium
Sui Jianguo ,1956,,Legacy mantle,2005,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"103,119","154,679",N/A,Bought In
Zhu Wei ,1966,,China China,N/A,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"30,935","41,247","38,669",Premium
Wang Keping ,1949,,Woman,1993,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"15,467","28,357","22,557",Premium
Wang Keping ,1949,,Fruits,N/A,Circa 1997 Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"15,467","23,201",N/A,Bought In
Nona Garcia ,1978,,Hallow II,2012,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"5,155","7,733","9,667",Premium
Nozomu Uchida ,1987,,Orca,2016,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"10,311","15,467","17,723",Premium
Tomohiro Inaba ,1984,,The memory of comet - 04,2016,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"4,511","8,378","8,861",Premium
Yi Hwan-Kwon ,1974,,Trinity,2009,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"38,669","64,449","11,278",Premium
Cai Zhisong ,1972,,Custom to motherland no 1,2001,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian Contemporary Art (Day Sale),"12,889","19,334",N/A,Bought In
Shinohara Ushio ,1932,,Motorcycle,1993,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"10,311","15,467","12,889",Premium
Ju Ming ,1938,,Taichi Series ? Hand Plucking Pipa,1996,Sculpture,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"386,699","644,499",N/A,Bought In
