Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Fan Shuru ,1960,,Untitled,1989,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"40,125","80,250","249,176",Premium
Xu Dongrong ,1947,,Soar,2011,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"12,840","16,050","14,766",Premium
Yoshitomo Nara ,1959,,Sleepless night,2007,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"8,025","12,840","15,135",Premium
Xu Xiutang ,1937,,Child,N/A,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"12,840","14,445",N/A,Bought In
Xu Xiutang ,1937,,Liu Hai teases a golden toad,N/A,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"19,260","24,075","23,994",Premium
Xu Xiutang ,1937,,Maitreya,N/A,Sculpture,"December 05, 2012",Council Beijing,Autumn 2012 Auction,"12,840","14,445","55,372",Premium
Qin Weihong ,1985,,Deer the white dew,2011,Sculpture,"May 31, 2012",Council Beijing,Spring 2012 Auction,"18,876","25,168","23,516",Premium
Shen Hongbiao ,1968,,Standing,2007,Sculpture,"May 31, 2012",Council Beijing,Spring 2012 Auction,"31,460","44,044","54,268",Premium
Wu Zuguang ,1917,2003,Cross the river,2001,Sculpture,"May 31, 2012",Council Beijing,Spring 2012 Auction,"7,865","12,584","14,471",Premium
Xiang Jing ,1968,,Wine,N/A,Sculpture,"May 31, 2012",Council Beijing,Spring 2012 Auction,"18,876","23,595","25,325",Premium
Xiang Jing ,1968,,Fruit,2004,Sculpture,"May 31, 2012",Council Beijing,Spring 2012 Auction,"18,876","23,595","25,325",Premium
Zeng Longsheng ,1900,1961,Immortal sculpture,N/A,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"78,550","94,260","93,945",Premium
Xia Xiao Wan ,1959,,Human shape no. 2,2008,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"31,419","47,130",N/A,Bought In
Shi Jinsong ,1969,,Beigao no. 6,2010,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"12,568","23,565","14,453",Premium
Xiang Jing ,1968,,Smoking girl,2001,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"43,988","50,272",N/A,Bought In
Xie Ke ,1955,,Excellent DNA,N/A,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"7,854","9,426","12,646",Premium
Yu Fan ,1966,,Mr. W: hold Ruth tightly,2008,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"23,565","28,277","27,099",Premium
Wu Zuguang ,1957,,Work hard,2008,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"12,568","18,852","32,519",Premium
Wang Wei ,1962,,Stand,2009,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"18,852","28,277","39,746",Premium
Yayoi Kusama ,1929,,Pumpkin,N/A,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"10,997","15,709","18,066",Premium
Yoshitomo Nara ,1959,,Untitled,1988,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"157,100","235,649","162,598",Premium
Yang Xu 21st C,N/A,N/A,US dollars,2007,Sculpture,"December 02, 2011",Council Beijing,Autumn 2011 Auction,"7,854","12,568",N/A,Bought In
Qu Guangci ,1969,,14 Angels,2010,Sculpture,"September 14, 2011",Council Beijing,Summer 2011 Auction,"3,910","5,474","5,036",Premium
Jin Nv ,1984,,My fairy-grow up,2006,Sculpture,"June 06, 2011",Council Beijing,Spring 2011 Auction,"12,346","15,433","17,748",Premium
Ju Ming ,1938,,Tai-Ji,1995,Sculpture,"June 06, 2011",Council Beijing,Spring 2011 Auction,"27,779","38,582",N/A,Bought In
Wang Keping ,1949,,Lips,1996,Sculpture,"June 06, 2011",Council Beijing,Spring 2011 Auction,"21,606","27,779",N/A,Bought In
Xiang Jing ,1968,,Gift,2002,Sculpture,"June 06, 2011",Council Beijing,Spring 2011 Auction,"38,582","54,015",N/A,Bought In
Jiao Xingtao ,1970,,The work,2008,Sculpture,"June 06, 2011",Council Beijing,Spring 2011 Auction,"12,346","15,433","17,748",Premium
Zhang Dehua ,1931,2005,Lu Xun,1978,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"45,027","60,036",N/A,Bought In
Wang Keping ,1949,,Big mouth,1988,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"60,036","75,045","100,860",Premium
Sui Jianguo ,1956,,Legacy mantle,2006,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"45,027","60,036",N/A,Bought In
Ai Weiwei ,1957,,Middle finger,N/A,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"60,036","90,054","84,050",Premium
Ai Weiwei ,1957,,Honeycomb coal,N/A,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"12,007","18,010","15,129",Premium
Xiang Jing ,1968,,Unflyyable angel,1998,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"27,016","33,019","63,878",Premium
Xiang Jing ,1968,,Smoking girl,1997,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"22,513","27,016","48,749",Premium
Wu Di ,1979,,Eyes,2009,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"15,009","22,513","21,853",Premium
Cao Hui ,1968,,I'm sorry,2006,Sculpture,"December 04, 2010",Council Beijing,5th Anniversary Auction,"45,027","60,036","117,670",Premium
Tian Shixin ,1941,,Song of spring,2005,Sculpture,"June 04, 2010",Council Beijing,Spring 2010 Auction,"55,663","70,311","62,342",Premium
