Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Bai Xueshi ,1915,2010,Lijiang river in drizzle,1975,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"5,852","8,778","11,777",Premium
Bai Xueshi ,1915,2010,The pine and cloud of Huangshan,1983,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"4,404","5,872","11,817",Premium
Bai Xueshi ,1915,2010,Landscape,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"4,407","7,345","25,340",Premium
Bai Xueshi ,1915,2010,Landscape,1984,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"5,876","8,814","10,980",Premium
Bai Xueshi ,1915,2010,Landscape,1986,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"7,345","11,752","25,340",Premium
Bai Xueshi ,1915,2010,Landscape,1989,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"11,752","17,628","13,514",Premium
Bai Xueshi ,1915,2010,Lijiang River,1981,Works on Paper,"June 03, 2017",Ravenel Taipei,Literati II : Encounter With A Collector,"15,936","19,920",N/A,Bought In
Bai Xueshi ,1915,2010,Untitled,N/A,Works on Paper,"April 27, 2017",Poly International Auction Beijing,The 37th fine arts auction - Fine Chinese painting and calligraphy,"8,700","14,499",N/A,
Bai Xueshi ,1915,2010,Landscape,1979,Works on Paper,"April 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [I],"3,857","6,430","4,552",Premium
Bai Xueshi ,1915,2010,Landscape,1981,Works on Paper,"April 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [I],"3,857","6,430","12,898",Premium
Bai Xueshi ,1915,2010,Album of Landscape,1982,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (II),"43,560","72,600",N/A,Bought In
