Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Fan Zeng ,1938,,Calligraphy,1976,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"6,055","9,082",N/A,
Fan Zeng ,1938,,Conversation,1995,Works on Paper,"October 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [I],"12,820","38,460","28,742",Premium
Fan Zeng ,1938,,Girl by the lotus pond,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"10,256","15,384","76,920",Premium
Fan Zeng ,1938,,Old man and monkey,1985,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"28,204","35,896","72,112",Premium
Fan Zeng ,1938,,Scholar by the butterflies,1982,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"25,640","38,460","32,050",Premium
Fan Zeng ,1938,,Zhongkui and goblin,1986,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"35,896","51,280","96,150",Premium
Attributed to Fan Zeng ,1938,,Huai Su,1989,Works on Paper,"September 12, 2017",Heritage Auctions Dallas,Asian Art,"15,000","20,000",N/A,Bought In
Fan Zeng ,1938,,Painting of grandfather talking with grandson,N/A,Works on Paper,"August 31, 2017",888 Auctions Inc. Ontario,"Modern Art, Jewelry, Stamps & Chinese Bronzes","1,200","2,400",550,Hammer
Fan Zeng ,1938,,Painting and calligraphy,1980,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"11,744","14,680","54,022",Premium
Fan Zeng ,1938,,Laozi,2002,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"998,240","1,101,000","1,147,976",Premium
Fan Zeng ,1938,,Horse,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"14,690","29,380","76,020",Premium
Fan Zeng ,1938,,Figure; Calligraphy,2002,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"235,040","293,800",N/A,Bought In
Fan Zeng ,1938,,Lotus pond,2000,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"146,900","264,420","168,935",Premium
Fan Zeng ,1938,,Red- crowned crane,2000,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"514,150","587,600",N/A,Bought In
Fan Zeng ,1938,,Herding,2004,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings,"2,938","7,345","42,233",Premium
Fan Zeng ,1938,,Laozi exit,2007,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings,"41,132","51,415","92,914",Premium
Fan Zeng ,1938,,Return from herding,2000,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings,"4,407","8,814","47,301",Premium
Fan Zeng ,1938,,Young poet,2009,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings,"13,221","22,035","109,807",Premium
Fan Zeng ,1938,,Beauty and Sweet Osmanthus,1989,Works on Paper,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings (Evening Sale),"51,380","58,720","131,679",Premium
Fan Zeng ,1938,,Beauty by Lotus Pond,1989,Works on Paper,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings (Evening Sale),"51,380","58,720","131,679",Premium
Fan Zeng ,1938,,Literati,2007,Works on Paper,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Contemporary Chinese Ink Paintings (Evening Sale),"29,360","36,700","75,969",Premium
