Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Attributed to Fu Baoshi ,1904,1965,Waterfall,N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"3,784","6,055",N/A,
Attributed to Fu Baoshi ,1904,1965,Landscape,N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"3,784","6,055",N/A,
Fu Baoshi ,1904,1965,Tao Yuanming,N/A,Works on Paper,"October 25, 2017",Bonhams Sydney,Asian Art Including A Private Collection Of Chinese Paintings,"2,270","3,784",N/A,
Fu Baoshi ,1904,1965,Looking up to the towering mountain,1962,Works on Paper,"October 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [I],N/A,N/A,"7,563,800",Premium
Fu Baoshi ,1904,1965,Trekking over mountains in moonlight,1945,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,N/A,N/A,"11,911,382",Premium
Fu Baoshi ,1904,1965,Drifting by the willows,1962,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"192,300","256,400","366,652",Premium
Fu Baoshi ,1904,1965,Scholars appreciating waterfall,1961,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"487,160","615,360","597,412",Premium
Fu Baoshi ,1904,1965,Letter to Qian Juntao,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"35,896","44,870",N/A,Bought In
Chen Peiqiu ,1922,,Scholars gathering; Li Bai?s poem in running script,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"117,040","175,560","143,008",Premium
Fu Baoshi ,1904,1965,[Untitled],1961,Works on Paper,"June 26, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting and Calligraphy","2,000","4,000",N/A,Bought In
Attributed to Fu Baoshi ,1904,1965,Landscape,1962,Works on Paper,"June 18, 2017",Michaan's Auctions Alameda,Fine Asian Works of Art,"10,000","15,000",N/A,Bought In
Fu Baoshi ,1904,1965,Qutang Gorge,1944,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"880,800","1,027,600","1,198,622",Premium
Fu Baoshi ,1904,1965,Landscape,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"146,900","264,420","168,935",Premium
Fu Baoshi ,1904,1965,Landscape,1960,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"235,040","381,940",N/A,Bought In
Fu Baoshi ,1904,1965,Appreciating Rocks,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"734,500","881,400","2,365,090",Premium
