Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Han Meilin ,1936,,Monkey; Two chirping birds,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"7,315","13,167","18,506",Premium
Han Meilin ,1936,,Tiger,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"1,463","2,926","7,066",Premium
Han Meilin ,1936,,Panda,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"2,926","4,389","11,440",Premium
Han Meilin ,1936,,Horse,1988,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"7,315","8,778","10,935",Premium
Han Meilin ,1936,,Horse,1995,Works on Paper,"June 28, 2017",Bonhams San Francisco,Asian Decorative Works of Art,"2,500","4,000","2,500",Premium
Han Meilin ,1936,,Moo-cow,2005,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"29,380","44,070",N/A,Bought In
Han Meilin ,1936,,Moo-cow,2008,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"29,380","44,070",N/A,Bought In
Han Meilin ,1936,,Camel,2002,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"95,485","117,520",N/A,Bought In
Han Meilin ,1936,,Horse,2001,Works on Paper,"June 03, 2017",Ravenel Taipei,Literati II : Encounter With A Collector,"13,280","19,920","13,280",Hammer
Han Meilin ,1936,,Horse,1982,Works on Paper,"May 05, 2017",Xiling Yinshe Hangzhou,2017 Shaoxing Spring Auction,"2,608","3,622","12,497",Premium
Han Meilin ,1936,,"Roosters, 1979",1979,Works on Paper,"December 20, 2016",Bonhams San Francisco,Asian Decorative Arts,"2,000","3,000","2,500",Premium
Liu Wenxi ,1933,,Albume of Characters and Landscape,N/A,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Contemporary Chinese Ink Paintings,"72,600","87,120",N/A,Bought In
Han Meilin ,1936,,Figure,1994,Works on Paper,"November 29, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"5,155","7,733",N/A,Bought In
Han Meilin ,1936,,Rooster,1993,Works on Paper,"November 29, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"9,022","11,600","12,889",Premium
Han Meilin ,1936,,Animals,1987,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"11,744","17,616","38,828",Premium
Han Meilin ,1936,,Bull,N/A,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"2,936","5,872","3,714",Premium
Han Meilin ,1936,,Little Fox,1979,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"11,744","17,616","25,323",Premium
Han Meilin ,1936,,Horse · Calligraphy,1989,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"41,104","55,784","47,269",Premium
Han Meilin ,1936,,Zebras poem in running script,N/A,Works on Paper,"September 29, 2016",Xiling Yinshe Hangzhou,Shao Xing 2016 Autumn Auction,"3,747","5,246","4,826",Premium
Han Meilin ,1936,,Character,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Contemporary Ink Chinese Painting and Calligraphy,"1,199","2,248",N/A,Bought In
Han Meilin ,1936,,Character,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Contemporary Ink Chinese Painting and Calligraphy,"1,798","3,747",N/A,Bought In
Han Meilin ,1936,,Eagle,N/A,Works on Paper,"September 25, 2016",China Guardian  Beijing,47th China Guardian Quarterly Auctions - Contemporary Ink Chinese Painting and Calligraphy,"8,994","14,990",N/A,Bought In
Han Meilin ,1936,,Poodle,1993,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"4,228","5,738","5,557",Premium
Han Meilin ,1936,,Dish,N/A,Ceramics,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"1,510","2,265","1,736",Premium
Han Meilin ,1936,,Cheval,N/A,Works on Paper,"June 23, 2016",Sotheby's Paris,Arts d'Asie,"22,739","34,109",N/A,Bought In
Han Meilin ,1936,,Bull,2014,Works on Paper,"May 20, 2016",Aspire Auctions Cleveland,Fine Art,"20,000","30,000",N/A,Bought In
Han Meilin ,1936,,Monkey,1980,Works on Paper,"April 09, 2016",Xiling Yinshe Hangzhou,2016 Shaoxing Spring Auction,"2,320","3,867","6,404",Premium
Han Meilin ,1936,,Running Horse,1982,Works on Paper,"April 09, 2016",Xiling Yinshe Hangzhou,2016 Shaoxing Spring Auction,"4,331","5,414","4,981",Premium
Han Meilin ,1936,,Panda,N/A,Works on Paper,"March 27, 2016",China Guardian  Beijing,45th China Guardian Quarterly Auction - Contemporary Ink Painting,"3,064","6,128","8,457",Premium
Han Meilin ,1936,,Small Fish,1979,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"4,000","8,000",N/A,Bought In
Han Meilin ,1936,,Large Fish,1980,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"3,000","6,000","3,250",Premium
Han Meilin ,1936,,Mother and Child/ Pandas,1982,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"7,000","12,000","13,750",Premium
Han Meilin ,1936,,Zebra poem in running script,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"4,638","6,183",N/A,Bought In
Han Meilin ,1936,,Panda,1980,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"3,091","4,638","3,555",Premium
Han Meilin ,1936,,The little tiger,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"6,183","7,729","8,000",Premium
Han Meilin ,1936,,Two cats,2004,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"5,411","6,956","6,756",Premium
Han Meilin ,1936,,Bird,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"6,956","8,503","9,778",Premium
Han Meilin ,1936,,Charm of cats,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"7,729","9,276","11,556",Premium
Han Meilin ,1936,,The little panda,2007,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"4,638","7,729","9,778",Premium
Han Meilin ,1936,,Calligraphy,N/A,Works on Paper,"December 19, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Modern Chinese Painting and Calligraphy ( II ),771,"1,233","3,192",Premium
Han Meilin ,1936,,A Rooster,N/A,Works on Paper,"December 10, 2015",Skinner Marlborough,"Jewelry, Silver & Asian Art Online","1,000","1,500",N/A,Bought In
Han Meilin ,1936,,A Rooster,N/A,Works on Paper,"December 10, 2015",Skinner Marlborough,"Jewelry, Silver & Asian Art Online",800,"1,200",492,Premium
Han Meilin ,1936,,Calligraphy,2007,Works on Paper,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"3,869","5,159","4,837",Premium
Han Meilin ,1936,,Fish-Owl,1980,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"9,418","15,696","30,687",Premium
Han Meilin ,1936,,Fox,N/A,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"23,545","39,242","27,077",Premium
Han Meilin ,1936,,Owl,1980,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"15,696","23,545","18,051",Premium
Han Meilin ,1936,,Monkeys,1980,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"15,696","23,545",N/A,Bought In
Han Meilin ,1936,,Auspicious Painting,1980,Paintings,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"7,848","12,557",N/A,Bought In
Han Meilin ,1936,,Running Horse,1994,Works on Paper,"October 05, 2015",Poly International Auction Hong Kong,Modern and Contemporary Chinese Ink and Works on Paper,"4,516","5,161","5,329",Premium
Han Meilin ,1936,,Horse,2011,Works on Paper,"October 05, 2015",Poly International Auction Hong Kong,Modern and Contemporary Chinese Ink and Works on Paper,"2,580","3,871",N/A,Bought In
Han Meilin ,1936,,Horse,N/A,Works on Paper,"September 19, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Modern and Contemporary Ink Chinese Painting and Calligraphy III,"3,140","6,280","4,513",Premium
Han Meilin ,1936,,Tiger,N/A,Works on Paper,"September 11, 2015",Xiling Yinshe Hangzhou,Shao xing 2015 Autumn Auction,"3,926","6,282","7,585",Premium
Han Meilin ,1936,,Flying bird,N/A,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"1,611","3,222","33,351",Premium
Han Meilin ,1936,,Twin Horses,2010,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"9,667","12,889","14,822",Premium
Han Meilin ,1936,,Racoon,1975,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"6,444","8,055","8,893",Premium
Han Meilin ,1936,,Rooster,1975,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"6,444","8,055","8,893",Premium
Han Meilin ,1936,,Black cat,1987,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"4,833","8,055","5,929",Premium
Han Meilin ,1936,,Monkey,N/A,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"3,222","4,833","5,929",Premium
Han Meilin ,1936,,Panda,N/A,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"8,055","9,667","12,970",Premium
Han Meilin ,1936,,Buddha figure,2005,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"8,055","9,667","9,264",Premium
Han Meilin ,1936,,Eagles,N/A,Works on Paper,"June 27, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - A Collection of Chinese Painting and Calligraphy from Songshi Shanfang,"4,025","7,245","46,287",Premium
Han Meilin ,1936,,Birds,N/A,Works on Paper,"June 27, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Modern and Contemporary Ink Chinese Painting and Calligraphy,"5,635","8,855","10,183",Premium
Han Meilin ,1936,,Dog and Roosters,1980,Works on Paper,"June 02, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"10,316","12,895","38,686",Premium
Han Meilin ,1936,,Double cranes,1980,Works on Paper,"April 07, 2015",China Guardian Hong Kong,China Guardian Hong Kong 2015 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"10,319","15,479","25,218",Premium
Han Meilin ,1936,,Fox,N/A,Works on Paper,"April 01, 2015",China Guardian  Beijing,41st China Guardian Quarterly Auctions - Modern Chinese Painting and Calligraphy ( I ),"8,080","12,929","12,638",Premium
Han Meilin ,1936,,Untitled,2004,Works on Paper,"January 24, 2015",Poly International Auction Beijing,Authentic - Chinese Paintings & Calligraphy,"8,019","16,039",N/A,Bought In
Han Meilin ,1936,,Untitled,1994,Works on Paper,"January 24, 2015",Poly International Auction Beijing,Authentic - Chinese Paintings & Calligraphy,"64,159","112,279",N/A,Bought In
Han Meilin ,1936,,Bird,1990,Works on Paper,"December 15, 2014",Hosane Shanghai,2014 Autumn Auction,"11,305","12,920",N/A,Bought In
Wu Zuoren ,1908,1997,Calligraphy; Camel,N/A,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"8,085","12,936","13,946",Premium
Han Meilin ,1936,,Rooster,N/A,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"8,085","9,702","16,364",Premium
Han Meilin ,1936,,Little fox,N/A,Works on Paper,"December 13, 2014",Xiling Yinshe Hangzhou,10th Anniversary Celebration Auction,"8,085","9,702","14,876",Premium
