Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Hu Nianzu ,1927,,Depicting a mountain,N/A,Works on Paper,"March 18, 2017",Skinner Boston,Asian Works of Art,"6,000","8,000",N/A,Bought In
Hu Nianzu ,1927,,Boats on River; Figures on Boats; Landscape,1965,Works on Paper,"March 14, 2017",Christie's New York,Fine Chinese Paintings,"2,600","7,600",N/A,Bought In
Hu Nianzu ,1927,,Boats; Fisherman; Li Shizhen Gathering Herbs,1979,Works on Paper,"March 14, 2017",Christie's New York,Fine Chinese Paintings,"10,000","20,000","12,500",Premium
Hu Nianzu ,1927,,Trail in the mountains,N/A,Works on Paper,"September 17, 2016",Sloans & Kenyon Chevy Chase,September Estate Catalogue Auction,"2,400","3,200",N/A,Bought In
Hu Nianzu ,1927,,Shepard with goats in the mountains,N/A,Works on Paper,"September 17, 2016",Sloans & Kenyon Chevy Chase,September Estate Catalogue Auction,"1,600","2,000",N/A,Bought In
Hu Nianzu ,1927,,Mount Huangshan,1990,Works on Paper,"May 29, 2016",Bonhams Hong Kong,Fine Chinese and Southeast Asian Paintings,"10,300","15,450",N/A,Bought In
Hu Nianzu ,1927,,Waterfall,1996,Works on Paper,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"38,699","51,599",N/A,Bought In
Hu Nianzu ,1927,,Celebration Album,N/A,Works on Paper,"October 07, 2015",China Guardian Hong Kong,China Guardian Hong Kong 2015 Autumn Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"6,452","10,323",N/A,Bought In
Hu Nianzu ,1927,,Running Horses/Reeds,1983,Works on Paper,"June 02, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"6,447","9,026",N/A,Bought In
Hu Nianzu ,1927,,Shepherd with Goats in the Mountains,N/A,Works on Paper,"April 25, 2015",Sloans & Kenyon Chevy Chase,April Estate Auction,"2,000","2,500","1,500",Hammer
Hu Nianzu ,1927,,Trail in the Mountains,N/A,Works on Paper,"April 25, 2015",Sloans & Kenyon Chevy Chase,April Estate Auction,"3,000","4,000","2,000",Hammer
Hu Nianzu ,1927,,Shepard with goats in the mountains,N/A,Works on Paper,"February 21, 2015",Sloans & Kenyon Chevy Chase,February Estate Auction,"2,500","3,000",N/A,Bought In
Hu Nianzu ,1927,,Trail in the mountains,N/A,Works on Paper,"February 21, 2015",Sloans & Kenyon Chevy Chase,February Estate Auction,"3,000","4,000",N/A,Bought In
Hu Nianzu ,1927,,Landscape,1989,Works on Paper,"November 23, 2014",Bonhams Hong Kong,Fine Chinese Paintings and Contemporary Asian Art,N/A,N/A,"4,511",Premium
Hu Nianzu ,1927,,Various collection,N/A,Works on Paper,"November 20, 2014",China Guardian  Beijing,China Guardian 2014 Autumn Auctions - Modern Chinese Painting and Calligraphy,"16,330","32,660",N/A,Bought In
Hu Nianzu ,1927,,Abstract Landscape,2007,Works on Paper,"May 25, 2014",Bonhams Hong Kong,Chinese Paintings and Calligraphy,N/A,N/A,"9,675",Premium
Hu Nianzu ,1927,,Landscape,1987,Works on Paper,"May 25, 2014",Bonhams Hong Kong,Chinese Paintings and Calligraphy,N/A,N/A,"19,350",Premium
Hu Nianzu ,1927,,Waterfall,2007,Works on Paper,"November 24, 2013",Bonhams Hong Kong,"Fine Chinese Paintings - Classical, Modern & Contemporary Ink",N/A,N/A,"11,287",Premium
Hu Nianzu ,1927,,Late spring landscape,2007,Works on Paper,"November 24, 2013",Bonhams Hong Kong,"Fine Chinese Paintings - Classical, Modern & Contemporary Ink","9,030","11,610",N/A,Bought In
Hu Nianzu ,1927,,Waterfall in autumn Mountain,1987,Works on Paper,"November 24, 2013",Bonhams Hong Kong,"Fine Chinese Paintings - Classical, Modern & Contemporary Ink","25,800","38,700",N/A,Bought In
Hu Nianzu ,1927,,Mountain landscape,1967,Works on Paper,"March 30, 2013",Kaminski Auctions Beverly,Fine Asian Art & Antiques,"6,000","8,000",N/A,Bought In
Hu Nianzu ,1927,,Landscape,1961,Works on Paper,"May 10, 2012",Nagel Auktionen Stuttgart,Asiatische Kunst,N/A,N/A,"9,686",Hammer
Hu Nianzu ,1927,,The Thatched House In Pine Forest,2011,Works on Paper,"November 15, 2011",China Guardian  Beijing,2011 Autumn Auctions- Contemporary Ink Painting,"47,220","59,812","123,086",Premium
Hu Nianzu ,1927,,Cloudy mountains,1971,Works on Paper,"May 21, 2011",China Guardian  Beijing,2011 Spring Auction,"4,621","7,702",N/A,Bought In
Hu Nianzu ,1927,,Wasserfall im zeitigen Frühling,1961,Works on Paper,"May 07, 2010",Nagel Auktionen Stuttgart,Asiatische Kunst,N/A,N/A,"8,288",Hammer
Hu Nianzu ,1927,,Landscape,2001,Works on Paper,"October 05, 2009",Sotheby's Hong Kong,Fine Chinese Paintings,"4,516","6,451","14,515",Premium
Hu Nianzu ,1927,,Excursion In The Forest,2001,Works on Paper,"October 06, 2008",Sotheby's Hong Kong,Fine Chinese Paintings,"4,511","6,444","11,278",Premium
Hu Nianzu ,1927,,Winter landscape,2005,Works on Paper,"May 29, 2006",Christie's Hong Kong,Modern & Contemporary Chinese Paintings - Part II,"10,320","15,480","9,675",Hammer
Hu Nianzu ,1927,,Waterfall,1967,Works on Paper,"May 10, 2004",Bonhams & Butterfields S.F. & L.A.,Asian Works of Art,N/A,N/A,"1,400",Hammer
Hu Nianzu ,1927,,Autumn landscape,1998,Works on Paper,"November 01, 1998",Sotheby's Hong Kong,Fine Modern & Contemporary Chinese Paintings,"3,873","6,456","3,873",Hammer
Hu Nianzu ,1927,,Landscape,1997,Works on Paper,"April 27, 1998",Sotheby's Hong Kong,Fine Modern & Contemporary Chinese Paintings,"6,455","9,037","8,004",Hammer
Hu Nianzu ,1927,,Waterfall in autumn landscape,1997,Works on Paper,"April 26, 1998",Christie's Hong Kong,Fine Modern & Contemporary Chinese Paintings,"6,455","9,037","7,746",Hammer
Hu Nianzu ,1927,,Landscape with waterfall,1994,Works on Paper,"April 28, 1996",Christie's Hong Kong,Fine 19th & 20th Century Chinese Paintings,N/A,N/A,"7,111",Hammer
Hu Nianzu ,1927,,Landscape,1994,Works on Paper,"September 17, 1995",Christie's Taiwan,"Fine Modern Chinese Oil Paintings, Watercolours & Drawings",N/A,N/A,"3,649",Hammer
Hu Nianzu ,1927,,Waterfall and ountain stream in autumn,1994,Works on Paper,"October 30, 1994",Christie's Hong Kong,19/20th Century & Contemporary Chinese Paintings,N/A,N/A,"8,411",Hammer
Hu Nianzu ,1927,,Watching a waterfall,1994,Works on Paper,"May 01, 1994",Christie's Hong Kong,19/20th Century Chinese Paintings,N/A,N/A,"6,472",Hammer
Hu Nianzu ,1927,,Huang Shan,1991,Works on Paper,"October 18, 1992",Sotheby's Taipei,"Fine Modern Chinese Oil Paintings, Watercolours & Sculpture",N/A,N/A,"19,800",Hammer
Hu Nianzu ,1927,,Mountain mist in evening,1989,Works on Paper,"March 30, 1992",Christie's Hong Kong,Fine 19/20th Century Chinese Paintings,N/A,N/A,"7,100",Hammer
