Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Li Yanshan ,1898,1961,"Cranes and pine; Bamboo and Pheasants in the Manner of Cui Bai",1957,Works on Paper,"June 28, 2017",Bonhams San Francisco,Asian Decorative Works of Art,"4,000","6,000","9,375",Premium
Li Yanshan ,1898,1961,Summer landscape,1958,Works on Paper,"June 27, 2017",Bonhams San Francisco,Fine Asian Works of Art,"5,000","7,000","9,375",Premium
Li Yanshan ,1898,1961,Waterfall,N/A,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"11,744","14,680","16,882",Premium
Li Yanshan ,1898,1961,After Woods and Valleys of Mount Yu by Ni Zan,1951,Works on Paper,"May 26, 2017",Bonhams Hong Kong,Fine Chinese Paintings,"8,981","11,547",N/A,Bought In
Li Yanshan ,1898,1961,Landscape in the Style of Shixi,N/A,Works on Paper,"May 26, 2017",Bonhams Hong Kong,Fine Chinese Paintings,"2,309","2,822","3,528",Premium
Li Yanshan ,1898,1961,Landscape,1959,Works on Paper,"May 26, 2017",Bonhams Hong Kong,Fine Chinese Paintings,"2,309","2,822",N/A,Bought In
Li Yanshan ,1898,1961,Autumn Chrysanthemum,1960,Works on Paper,"May 05, 2017",Xiling Yinshe Hangzhou,2017 Shaoxing Spring Auction,"1,449","2,173",N/A,
Li Yanshan ,1898,1961,Flying geese over stream,N/A,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"6,430","9,002","8,037",Premium
Li Yanshan ,1898,1961,Hermitage in the mountains,1939,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"10,288","15,431","12,860",Premium
Li Yanshan ,1898,1961,Blue and Green Landscape,1948,Works on Paper,"November 25, 2016",Bonhams Hong Kong,Fine Chinese Paintings and Southeast Asian Art,"12,889","15,467",N/A,Bought In
Li Yanshan ,1898,1961,Scholar at the Lakeside,1939,Works on Paper,"October 04, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"10,311","15,467","12,889",Premium
Li Yanshan ,1898,1961,Landscape scroll,N/A,Works on Paper,"October 03, 2016",Poly International Auction Hong Kong,Fine Modern Chinese Paintings and Calligraphy,"5,155","10,311","6,084",Premium
Li Yanshan ,1898,1961,Landscape,1950,Works on Paper,"October 03, 2016",Poly International Auction Hong Kong,Fine Modern Chinese Paintings and Calligraphy,"15,467","23,201","25,857",Premium
Li Yanshan ,1898,1961,Jin Ling scenery,1939,Works on Paper,"October 03, 2016",Poly International Auction Hong Kong,Fine Modern Chinese Paintings and Calligraphy,"32,224","58,004",N/A,Bought In
Li Yanshan ,1898,1961,Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),"3,037","6,075","5,316",Premium
Li Yanshan ,1898,1961,Landscape,1938,Works on Paper,"June 04, 2016",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (II),"12,182","22,842","21,014",Premium
Li Yanshan ,1898,1961,Pines by the mountain stream,1961,Works on Paper,"May 30, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"4,504","6,435","25,741",Premium
Li Yanshan ,1898,1961,Bamboo and Plane Tree,1949,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"2,575","6,437","9,419",Premium
Li Yanshan ,1898,1961,Landscape,1955,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (I),"1,287","2,575","3,342",Premium
Li Yanshan ,1898,1961,Hibiscus by the Bamboo,1960,Works on Paper,"April 05, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"20,629","25,786","25,786",Premium
Li Yanshan ,1898,1961,Mandarin Ducks by the Shore,N/A,Works on Paper,"April 05, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"9,025","11,603","16,116",Premium
Li Yanshan ,1898,1961,Plum Blossoms in the Moonlight,1958,Works on Paper,"April 05, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"6,446","9,025","16,116",Premium
Li Yanshan ,1898,1961,Landscape Imitating Shen Zhou,N/A,Works on Paper,"April 05, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"15,471","23,207","19,339",Premium
Li Yanshan ,1898,1961,Landscape after Southern Song Artist,N/A,Works on Paper,"April 05, 2016",Sotheby's Hong Kong,Fine Chinese Paintings,"19,339","25,786","41,902",Premium
Li Yanshan ,1898,1961,Autumn Landscape,1932,Works on Paper,"December 11, 2015",Bonhams San Francisco,Asian Decorative Arts,"2,500","3,500","4,750",Premium
Li Yanshan ,1898,1961,Autumn Landscape,1949,Works on Paper,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"5,159","7,739","12,899",Premium
Li Yanshan ,1898,1961,Ink Bamboo,1960,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"15,484","19,355","141,937",Premium
Li Yanshan ,1898,1961,Summer landscape after Wang Meng,1951,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"15,484","19,355","56,452",Premium
Li Yanshan ,1898,1961,Winter mountains after Dong Yuan,N/A,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"38,710","64,516","67,742",Premium
Li Yanshan ,1898,1961,Plum blossoms,1951,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"25,806","38,710","132,259",Premium
Li Yanshan ,1898,1961,Twin Pines,1952,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"19,355","25,806","56,452",Premium
Li Yanshan ,1898,1961,Gnarled Pine,1952,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"6,451","9,032","38,710",Premium
