Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Pan Tianshou ,1897,1971,Vulture,N/A,Works on Paper,"September 11, 2017",Bonhams New York,Twentieth Century Chinese Painting and Calligraphy,"80,000","100,000","100,000",Premium
Huang Binhong ,1865,1955,Morning glory,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"73,150","102,410","92,534",Premium
Pan Tianshou ,1897,1971,Bird on rock,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"99,484","117,040","131,231",Premium
Pan Tianshou ,1897,1971,Chicks,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"146,900","220,350","185,828",Premium
Pan Tianshou ,1897,1971,Cannas,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"528,840","675,740",N/A,Bought In
Pan Tianshou ,1897,1971,Osprey,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"337,870","440,700",N/A,Bought In
Pan Tianshou ,1897,1971,Bamboo and Quail,1961,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"616,980","881,400",N/A,Bought In
Pan Tianshou ,1897,1971,Cannas,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Important Modern Chinese Painting And Calligraphy Night Sale,"558,220","705,120","641,953",Premium
Pan Tianshou ,1897,1971,New year plum blossoms,1941,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"231,480","321,500","383,228",Premium
Pan Tianshou ,1897,1971,Amusement of fish,1990,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"64,299","90,020","80,375",Premium
Pan Tianshou ,1897,1971,Perching on the fence,1962,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"77,160","102,880","305,425",Premium
Pan Tianshou ,1897,1971,Orchid by the rock,1959,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"64,299","90,020","192,900",Premium
Attributed to Pan Tianshou ,1897,1971,Eagle,N/A,Works on Paper,"March 20, 2017",Golden State Auction Gallery San Francisco,"Fine Asian Works of Art, Fine Painting, and Calligraphy","2,000","5,000",N/A,Bought In
Pan Tianshou ,1897,1971,Lotus,1965,Works on Paper,"March 13, 2017",Bonhams New York,Chinese Works of Art,"80,000","120,000",N/A,Bought In
Pan Tianshou ,1897,1971,Lotus,N/A,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,"87,120","116,160","100,188",Premium
Pan Tianshou ,1897,1971,Crows on A Rock,1956,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,N/A,N/A,"6,679,200",Premium
Pan Tianshou ,1897,1971,Red Lotus,1966,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,"696,960","871,200","768,108",Premium
Pan Tianshou ,1897,1971,Calligraphy in Sursive Script,1943,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,"217,800","363,000","367,356",Premium
Pan Tianshou ,1897,1971,Calligraphy,1982,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (II),"2,178","3,630",N/A,Bought In
Pan Tianshou ,1897,1971,Landscape Aften Shi Tao,1929,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (I),"4,356","7,260","16,698",Premium
Pan Tianshou ,1897,1971,Ink Bamboo,1965,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (I),"7,260","11,616","75,141",Premium
Pan Tianshou ,1897,1971,Bird and rock,1956,Works on Paper,"November 29, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"64,449","90,229","112,787",Premium
Pan Tianshou ,1897,1971,Calligraphy in Running Script,1948,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"99,824","129,184","114,797",Premium
Pan Tianshou ,1897,1971,Bird on Rock,1952,Works on Paper,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Modern Chinese Painting and Calligraphy,"513,800","660,600",N/A,Bought In
Pan Tianshou ,1897,1971,Pomegranate,1962,Works on Paper,"November 12, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - Grand View: Chinese Painting Highlight · Modern,"1,174,400","1,761,600",N/A,Bought In
Pan Tianshou ,1897,1971,Ink bamboo,1949,Works on Paper,"November 11, 2016",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy (Part I),"26,406","36,675","30,366",Premium
Pan Tianshou ,1897,1971,[Untitled],N/A,Works on Paper,"November 10, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction - Flourishing - A Modern Chinese Paintings and Calligraphy (II) Special,"36,800","51,520",N/A,Bought In
Pan Tianshou ,1897,1971,[Untitled],N/A,Works on Paper,"November 10, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction-  Fantastic - A Modern Chinese Paintings and Calligraphy (I) Special,"88,320","132,480","155,737",Premium
Pan Tianshou ,1897,1971,[Untitled],N/A,Works on Paper,"November 10, 2016",Poly International Auction Beijing,The 36th Fine Arts Auction-  Fantastic - A Modern Chinese Paintings and Calligraphy (I) Special,"1,177","1,766","10,156",Premium
Pan Tianshou ,1897,1971,[Untitled],1965,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"271,845","377,563","746,820",Premium
Pan Tianshou ,1897,1971,[Untitled],1965,Works on Paper,"June 25, 2016",Xiling Yinshe Hangzhou,2016 Spring Auction,"377,563","528,589","521,037",Premium
Pan Tianshou ,1897,1971,Raven and Rock,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (I),"121,510","182,265","218,338",Premium
Pan Tianshou ,1897,1971,Landscape,N/A,Works on Paper,"June 18, 2016",China Guardian  Beijing,46th China Guardian Quarterly Auction - Chinese Painting and Calligraphy (II),455,911,"9,417",Premium
Pan Tianshou ,1897,1971,Chrysanthemum,1964,Works on Paper,"June 05, 2016",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy Night Sale (II),"487,299","639,580","700,493",Premium
Pan Tianshou ,1897,1971,Autumn Landscape,1945,Works on Paper,"June 04, 2016",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (I),"304,562","456,843","402,783",Premium
Pan Tianshou ,1897,1971,Orchid,1945,Works on Paper,"June 04, 2016",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (II),"106,596","137,053",N/A,Bought In
Pan Tianshou ,1897,1971,"Plum blossom, bamboo, and rock",N/A,Works on Paper,"May 31, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"51,475","77,213",N/A,Bought In
Pan Tianshou ,1897,1971,Bamboo valley,1954,Works on Paper,"May 31, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"772,130","1,029,506","2,321,538",Premium
Pan Tianshou ,1897,1971,Living in the woods,N/A,Works on Paper,"May 31, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"193,032","257,376",N/A,Bought In
Pan Tianshou ,1897,1971,Running script calligraphy,1948,Works on Paper,"May 31, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"64,344","90,081",N/A,Bought In
Pan Tianshou ,1897,1971,Hen and chicks,N/A,Works on Paper,"May 31, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"231,639","321,720","283,114",Premium
Pan Tianshou ,1897,1971,Orchids,1945,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"103,002","154,503",N/A,Bought In
Pan Tianshou ,1897,1971,Calligraphy in Running Script,1945,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"38,625","51,501","45,578",Premium
Pan Tianshou ,1897,1971,Bamboo and Squirrels,1929,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (II),"10,300","15,450","53,175",Premium
Pan Tianshou ,1897,1971,Starlings with Rock,1948,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (I),"231,755","360,508","922,516",Premium
Pan Tianshou ,1897,1971,Cat and Peach Blossom,1924,Works on Paper,"May 29, 2016",China Guardian Hong Kong,China Guardian Hong Kong 2016 Spring Auctions - Chinese Painting and Calligraphy from the Four Seas (I),"115,877","154,503","136,735",Premium
Attributed to Pan Tianshou ,1897,1971,An aquatic bird perched above a colourful flower; A figure on a small boat in a watery landscape,N/A,Works on Paper,"May 17, 2016",Woolley & Wallis Salisbury,Asian Art,"2,891","4,336","2,746",Hammer
Pan Tianshou ,1897,1971,Boating in Cloudy Mountain,1925,Works on Paper,"May 15, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Grand View: Chinese Painting Highlight - Modern,"581,689","887,841",N/A,Bought In
Pan Tianshou ,1897,1971,Letter,N/A,Works on Paper,"May 15, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Chinese Painting Collection from Wanhuatang Studio,"1,530","3,061","9,153",Premium
Pan Tianshou ,1897,1971,Letter,N/A,Works on Paper,"May 15, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Chinese Painting Collection from Wanhuatang Studio,"1,530","3,061","11,442",Premium
Pan Tianshou ,1897,1971,Letter,N/A,Works on Paper,"May 15, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Chinese Painting Collection from Wanhuatang Studio,"1,530","3,061","10,914",Premium
Pan Tianshou ,1897,1971,Red Lotus,1965,Works on Paper,"May 14, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Modern Chinese Painting and Calligraphy(II),"489,843","642,919","563,319",Premium
Pan Tianshou ,1897,1971,Seven-character Poem in Running Script,1932,Works on Paper,"May 14, 2016",China Guardian  Beijing,China Guardian 2016 Spring Auctions - Modern Chinese Painting and Calligraphy(II),"76,538","122,460",N/A,Bought In
Pan Tianshou ,1897,1971,Bird perching on a rock,1946,Works on Paper,"May 13, 2016",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy (Part I),"45,923","61,230","65,134",Premium
Style of Pan Tianshou ,1897,1971,Pine and Eagle,1954,Works on Paper,"March 16, 2016",Christie's New York,Fine Chinese Paintings,"2,000","3,000","16,250",Premium
Pan Tianshou ,1897,1971,The eternal buddha,N/A,Works on Paper,"January 10, 2016",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy,"322,072","450,901",N/A,Bought In
Pan Tianshou ,1897,1971,Landscape; Calligraphy; Flowers,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"27,827","38,650","44,447",Premium
Pan Tianshou ,1897,1971,The red lotus,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"1,855,199","2,319,000","2,489,060",Premium
Lai Chusheng ,1902,1975,Watching mountain from the pavilion,1947,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"309,200","432,879","408,916",Premium
Pan Tianshou ,1897,1971,Hermit dwelling in mountains,N/A,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"123,679","185,519","142,232",Premium
Pan Tianshou ,1897,1971,Appreciating waterfall,1944,Works on Paper,"December 26, 2015",Xiling Yinshe Hangzhou,2015 Autumn Auction,"123,679","185,519","195,568",Premium
Pan Tianshou ,1897,1971,Calligraphy,N/A,Works on Paper,"December 19, 2015",China Guardian  Beijing,44th China Guardian Quarterly Auctions - Modern Chinese Painting and Calligraphy ( II ),"3,084","6,169","3,547",Premium
Pan Tianshou ,1897,1971,Calligraphy,N/A,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (I),"23,470","39,116","61,178",Premium
Pan Tianshou ,1897,1971,Autumn Landscape Calligraphy,1928,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (II),"18,776","28,164",N/A,Bought In
Pan Tianshou ,1897,1971,Calligraphy in Running Script,1943,Works on Paper,"December 07, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy (II),"65,716","97,009","84,570",Premium
Pan Tianshou ,1897,1971,Snooze,1964,Works on Paper,"December 06, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy Night Sale (I),"93,880","125,174","215,925",Premium
Pan Tianshou ,1897,1971,Rooster and Bamboo,N/A,Works on Paper,"December 06, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy Night Sale (I),"187,761","281,641","665,769",Premium
Pan Tianshou ,1897,1971,Watefowl,N/A,Works on Paper,"December 06, 2015",Poly International Auction Beijing,Paintings from Collection of Mr. Mijingyang,"438,109","500,696","791,726",Premium
Pan Tianshou ,1897,1971,Chicks,N/A,Works on Paper,"December 06, 2015",Poly International Auction Beijing,Paintings from Collection of Mr. Mijingyang,"156,467","234,701","179,937",Premium
Pan Tianshou ,1897,1971,Pine Tree,N/A,Works on Paper,"December 06, 2015",Poly International Auction Beijing,Modern Chinese Paintings,"234,701","281,641","269,906",Premium
Huang Binhong ,1865,1955,"Orchid, Trees, Calligraphy/ Landscape",1948,Works on Paper,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"10,319","12,899","32,249",Premium
Pan Tianshou ,1897,1971,Cat,1953,Works on Paper,"December 01, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"257,997","386,996",N/A,Bought In
Pan Tianshou ,1897,1971,Fowl and Rocks,1950,Works on Paper,"November 28, 2015",Bonhams Hong Kong,Fine Chinese Paintings,"12,900","25,800","1,259,040",Premium
Pan Tianshou ,1897,1971,Pine,1964,Works on Paper,"November 15, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Grand View: Chinese Painting Highlight . Modern,"10,685,439","13,828,215","14,637,480",Premium
Pan Tianshou ,1897,1971,Dawm,N/A,Works on Paper,"November 15, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Grand View: Chinese Painting Highlight . Modern,"8,171,218","9,742,606","10,842,577",Premium
Pan Tianshou ,1897,1971,Five-Character Poem in Running Script,1945,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"94,181","125,575","117,334",Premium
Pan Tianshou ,1897,1971,Painting and Calligraphy,1963,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"34,533","50,230","207,592",Premium
Pan Tianshou ,1897,1971,Night Scene,1944,Works on Paper,"November 14, 2015",China Guardian  Beijing,China Guardian 2015 Autumn Auctions - Modern Chinese Painting and Calligraphy,"282,545","439,515",N/A,Bought In
Pan Tianshou ,1897,1971,Orchid,1948,Works on Paper,"October 07, 2015",China Guardian Hong Kong,China Guardian Hong Kong 2015 Autumn Auctions - Chinese Painting and Calligraphy from the Four Seas (I),"64,520","103,232","106,587",Premium
Pan Tianshou ,1897,1971,Orchid and Bamboo,1935,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"77,420","103,227","193,550",Premium
Pan Tianshou ,1897,1971,Orchid; Calligraphy,N/A,Works on Paper,"October 06, 2015",Sotheby's Hong Kong,Fine Chinese Paintings,"45,161","58,065","273,551",Premium
Pan Tianshou ,1897,1971,Cormorant,N/A,Works on Paper,"September 19, 2015",China Guardian  Beijing,43rd China Guardian Quarterly Auctions - Master Pieces by Modern Chinese Painting and Calligraphy Artists,"54,950","70,650","288,880",Premium
Pan Tianshou ,1897,1971,Bamboo?stone and bird,1922,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"61,225","72,503","74,114",Premium
Pan Tianshou ,1897,1971,Rock,1943,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"4,833","8,055","55,585",Premium
Pan Tianshou ,1897,1971,Bird on rock,1950,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"32,223","402,797","389,101",Premium
Pan Tianshou ,1897,1971,Lotus,1965,Works on Paper,"July 04, 2015",Xiling Yinshe Hangzhou,2015 Spring Auction,"193,342","257,790","370,573",Premium
Pan Tianshou ,1897,1971,Bamboo and Rock,N/A,Works on Paper,"June 27, 2015",China Guardian  Beijing,42nd China Guardian Quarterly Auctions - Modern and Contemporary Ink Chinese Painting and Calligraphy,805,"1,610","8,887",Premium
Pan Tianshou ,1897,1971,Two Birds on rock,1963,Works on Paper,"June 23, 2015",Bonhams San Francisco,Fine Asian Works of Art,"5,500","7,500","6,250",Premium
Pan Tianshou ,1897,1971,Landscape,1929,Works on Paper,"June 05, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligraphy II,"32,304","64,608","144,885",Premium
Pan Tianshou ,1897,1971,Landscape after Ancient Master,1934,Works on Paper,"June 04, 2015",Poly International Auction Beijing,Modern Chinese Painting and Calligrapy Evening Sale I,"452,503","775,719","780,568",Premium
Pan Tianshou ,1897,1971,Calligraphy,1941,Works on Paper,"June 02, 2015",Christie's Hong Kong,Fine Chinese Modern Paintings,"25,791","38,686","159,905",Premium
Pan Tianshou ,1897,1971,Lotus Pond,1963,Works on Paper,"May 31, 2015",Bonhams Hong Kong,Fine Chinese Paintings,"64,494","90,292",N/A,Bought In
Pan Tianshou ,1897,1971,Spring willow,1964,Works on Paper,"May 18, 2015",ChengXuan Auctions Beijing,2015 Spring Auctions - Chinese Paintings & Calligraphy (Part II),"484,175","613,288",N/A,Bought In
Pan Tianshou ,1897,1971,A pair of birds,1957,Works on Paper,"May 18, 2015",ChengXuan Auctions Beijing,2015 Spring Auctions - Chinese Paintings & Calligraphy (Part II),"613,288","726,263",N/A,Bought In
Pan Tianshou ,1897,1971,Dwelling in Mountain,1924,Works on Paper,"May 18, 2015",China Guardian  Beijing,China Guardian 2015 Spring Auctions - Painting Collection from Xiaoxiao Studio,"403,479","564,871",N/A,Bought In
