Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wu Zuoren ,1908,1997,Grazing,1980,Works on Paper,"October 03, 2017",Poly International Auction Hong Kong,Fine Chinese Paintings and Calligraphy [I],"12,820","38,460","15,127",Premium
Huang Zhou ,1925,1997,Album of paintings and calligraphy,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"409,640","555,940","672,980",Premium
Wu Zuoren ,1908,1997,Prancing horse,N/A,Works on Paper,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"2,926","5,852","18,506",Premium
Wu Zuoren ,1908,1997,Goldfish,N/A,Works on Paper,"June 18, 2017",ChengXuan Auctions Beijing,Chinese Paintings & Calligraphy,"11,744","14,680","13,505",Premium
Wu Zuoren ,1908,1997,Eagle on rock,N/A,Works on Paper,"June 05, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern Chinese Painting II,"66,105","95,485","126,701",Premium
Wu Zuoren ,1908,1997,Portrait of Little Jingsheng,1941,Paintings,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern and Contemporary Arts Evening Sale,"117,440","176,160",N/A,Bought In
Wu Zuoren ,1908,1997,Goldfish,1983,Works on Paper,"May 28, 2017",Poly International Auction Hong Kong,The Beauty of Brushes - A Selection of Chinese Paintings and Calligraphy [3],"8,981","12,830",N/A,Bought In
Wu Zuoren ,1908,1997,Fishes in lotus pond,1986,Works on Paper,"April 04, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"7,715","10,288","15,271",Premium
Wu Zuoren ,1908,1997,Horse,N/A,Works on Paper,"March 11, 2017",Cowan's Cincinnati,Fine and Decorative Art,"3,000","5,000",N/A,Bought In
Wu Zuoren ,1908,1997,Swans,N/A,Works on Paper,"December 18, 2016",Michaan's Auctions Alameda,Fine Asian Works of Art,"7,000","9,000",N/A,Bought In
Wu Zuoren ,1908,1997,Camels,1985,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Important Modern Chinese Painting and Calligraphy Night Sale,"116,160","174,240","183,678",Premium
Wu Zuoren ,1908,1997,Goldfish and Lotus,1979,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (II),"58,080","87,120","66,792",Premium
Wu Zuoren ,1908,1997,"Panda, Bamboo and Stone",1972,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (II),"29,040","58,080","53,433",Premium
Wu Zuoren ,1908,1997,Panda,1983,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (I),"17,424","26,136",N/A,Bought In
Wu Zuoren ,1908,1997,Camels,1978,Works on Paper,"December 04, 2016",Poly International Auction Beijing,2016 Autumn Sales - Modern Chinese Painting and Calligraphy (I),"43,560","58,080",N/A,Bought In
Wu Zuoren ,1908,1997,Panda,1979,Works on Paper,"November 29, 2016",Christie's Hong Kong,Fine Chinese Modern Paintings,"38,669","64,449",N/A,Bought In
