Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Chao Chung-Hsiang ,1913,1991,Abstract,N/A,Paintings,"July 17, 2017",Xiling Yinshe Hangzhou,2017 Spring Auction,"8,778","11,704","10,094",Premium
Chao Chung-Hsiang ,1913,1991,Sans titre,1962,Paintings,"June 23, 2017",Christophe Joron-Derem Paris,"Arts d'Asie - Peintures Anciennes, Modernes et Contemporaines - Objets d'Art","6,711","8,948",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Ethic,N/A,Works on Paper,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"33,358","51,320",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Devine Freedom,N/A,Works on Paper,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"15,396","28,226",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Masculine-feminine,1968,Paintings,"May 28, 2017",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"38,490","51,320",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Cycle of Life,N/A,Prints,"May 11, 2017",Swann Galleries New York,Contemporary Art,"1,500","2,500",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Happiness,1968,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Modern Asian Art,"45,010","51,440","48,225",Premium
Chao Chung-Hsiang ,1913,1991,Five blessings II,N/A,Works on Paper,"April 03, 2017",Sotheby's Hong Kong,Modern Asian Art,"64,299","77,160","80,375",Premium
Chao Chung-Hsiang ,1913,1991,The Bird in Nest,N/A,Works on Paper,"December 18, 2016",Zhong Cheng Auctions Taipei,2016 Autumn Auction - Modern and Contemporary Art,"6,864","8,736","6,739",Premium
Chao Chung-Hsiang ,1913,1991,Sans titre,1962,Paintings,"December 14, 2016",Christophe Joron-Derem Paris,Joaillerie - Horlogerie - Orfevrerie - Arts Graphiques - Bibliophilie - Art Oriental - Peintures - Sculptures Anciennes et Modernes - Meuble et Objets d'Art du XVI?me au XX?me Si?cle - Art d'Asie,"8,519","10,649",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Fish,1958,Works on Paper,"December 04, 2016",Ravenel Taipei,Modern and Contemporary Asian Art,"50,080","81,380",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Cause and effect,1983,Works on Paper,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"45,114","70,895",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Life's maelstrom; Rooster with a red comb,1968,Works on Paper,"November 27, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"10,311","20,623","20,946",Premium
Chao Chung-Hsiang ,1913,1991,Compositie,1981,Paintings,"October 22, 2016",De Vuyst Lokeren,"Old Masters, Modern and Contemporary Art","1,632","2,176","1,741",Hammer
Chao Chung-Hsiang ,1913,1991,Compositie,1981,Paintings,"October 22, 2016",De Vuyst Lokeren,"Old Masters, Modern and Contemporary Art","1,632","2,176","1,632",Hammer
Chao Chung-Hsiang ,1913,1991,Untitled,1964,Works on Paper,"October 03, 2016",Sotheby's Hong Kong,Modern Asian Art,"5,155","7,733",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Love,1971,Paintings,"October 03, 2016",Sotheby's Hong Kong,Modern Asian Art,"32,224","45,114",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Sorrow,1965,Paintings,"October 03, 2016",Sotheby's Hong Kong,Modern Asian Art,"25,779","38,669",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Rooster,1969,Paintings,"October 03, 2016",Sotheby's Hong Kong,Modern Asian Art,"19,334","32,224",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Fishes,1989,Works on Paper,"June 05, 2016",Ravenel Taipei,Spring Auction 2016 - Modern and Contemporary Asian Art,"11,160","14,260",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Chinese Landscape with Figures,1964,Works on Paper,"May 29, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"7,725","15,450","12,875",Premium
Chao Chung-Hsiang ,1913,1991,The Universe,1989,Works on Paper,"May 29, 2016",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"64,376","90,127","80,470",Premium
Chao Chung-Hsiang ,1913,1991,Vogel,N/A,Works on Paper,"May 21, 2016",De Vuyst Lokeren,"Old Masters, Modern and Contemporary Art","2,244","3,367","2,469",Hammer
Chao Chung-Hsiang ,1913,1991,Abstraction,1965,Paintings,"April 04, 2016",Sotheby's Hong Kong,Modern Asian Art,"77,385","128,976","112,854",Premium
Chao Chung-Hsiang ,1913,1991,White splash and turquoise,1988,Paintings,"April 04, 2016",Poly International Auction Hong Kong,Chinese and Asian Modern and Contemporary Art,"32,244","45,141",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Landscape,N/A,Works on Paper,"April 03, 2016",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"257,930","515,860",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Five Phases,1987,Paintings,"April 03, 2016",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"644,826","902,756",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,The Kite (Good Luck Symbol),1968,Works on Paper,"March 14, 2016",Bonhams New York,Chinese Art,"15,000","25,000","22,500",Premium
Chao Chung-Hsiang ,1913,1991,The Proud One,1968,Works on Paper,"March 14, 2016",Bonhams New York,Chinese Art,"5,000","10,000","6,250",Premium
Chao Chung-Hsiang ,1913,1991,Zin Mother,N/A,Prints,"February 20, 2016",Trinity International Auctions Avon,International Fine Art,400,800,350,Hammer
Chao Chung-Hsiang ,1913,1991,Birds on bamboo branch,1982,Works on Paper,"December 06, 2015",Ravenel Taipei,Autumn Auction 2015,"5,647","8,157","7,530",Premium
Chao Chung-Hsiang ,1913,1991,Fish,1982,Works on Paper,"December 06, 2015",Ravenel Taipei,Autumn Auction 2015,"8,157","11,923","8,283",Premium
Chao Chung-Hsiang ,1913,1991,Striving for mastery,1985,Works on Paper,"December 06, 2015",Ravenel Taipei,Autumn Auction 2015,"11,295","15,060","12,048",Premium
Chao Chung-Hsiang ,1913,1991,Bird,N/A,Works on Paper,"November 29, 2015",Christie's Hong Kong,Asian 20th Century Art Day Sale,"5,161","10,322","6,451",Premium
Chao Chung-Hsiang ,1913,1991,Family,1982,Works on Paper,"November 13, 2015",ChengXuan Auctions Beijing,Modern & Contemporary Art,"7,862","11,007","10,850",Premium
Chao Chung-Hsiang ,1913,1991,Spiritualism awakening,1982,Works on Paper,"November 13, 2015",ChengXuan Auctions Beijing,Modern & Contemporary Art,"6,290","7,862","7,233",Premium
Chao Chung-Hsiang ,1913,1991,Bird Family Under Shade,N/A,Works on Paper,"October 06, 2015",China Guardian Hong Kong,China Guardian Hong Kong 2015 Autumn Auctions - 20th Century and Contemporary Chinese Art,"51,613","77,420","57,858",Premium
Chao Chung-Hsiang ,1913,1991,Untitled,1989,Paintings,"October 03, 2015",Bonhams Hong Kong,Modern and Contemporary Art,"19,350","25,800",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Untitled,1982,Works on Paper,"October 03, 2015",Bonhams Hong Kong,Modern and Contemporary Art,"9,030","11,610","11,287",Premium
Chao Chung-Hsiang ,1913,1991,Untitled,1963,Paintings,"June 11, 2015",Sotheby's Hong Kong,Boundless: Contemporary Art,"64,498","90,298","80,623",Premium
Chao Chung-Hsiang ,1913,1991,Bird,1980,Paintings,"June 07, 2015",Ravenel Taipei,Spring Auction 2015 - Modern and Contemporary Asian Art,"7,091","10,315","11,604",Premium
Chao Chung-Hsiang ,1913,1991,Life Ripening Into Fullness,N/A,Works on Paper,"May 31, 2015",Christie's Hong Kong,Asian 20th Century Art Day Sale,"32,247","58,044","56,432",Premium
Chao Chung-Hsiang ,1913,1991,Life's Maelstrom,1968,Works on Paper,"May 31, 2015",Christie's Hong Kong,Asian 20th Century Art Day Sale,"15,478","20,638",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Rooster with Red Comb,1968,Works on Paper,"May 31, 2015",Christie's Hong Kong,Asian 20th Century Art Day Sale,"6,449","15,478",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Lifelong love,1990,Works on Paper,"May 17, 2015",ChengXuan Auctions Beijing,2015 Spring Auctions - Modern & Contemporary Art,"8,069","11,297","13,920",Premium
Chao Chung-Hsiang ,1913,1991,Love,1982,Works on Paper,"May 17, 2015",ChengXuan Auctions Beijing,2015 Spring Auctions - Modern & Contemporary Art,"6,455","8,069","7,424",Premium
Chao Chung-Hsiang ,1913,1991,Untitled,1958,Works on Paper,"April 06, 2015",Poly International Auction Hong Kong,Chinese Modern and Contemporary Works on Paper,"90,307","129,011",N/A,Bought In
Chao Chung-Hsiang ,1913,1991,Brilliant,1985,Paintings,"November 23, 2014",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"15,467","25,779","27,391",Premium
Chao Chung-Hsiang ,1913,1991,Untitled,1989,Paintings,"November 23, 2014",Christie's Hong Kong,Asian 20th Century Art (Day Sale),"10,311","15,467","20,946",Premium
