Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Barry Flanagan ,1941,2009,Acrobats,2003,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"230,760","320,500","382,036",Premium
Fernando Botero ,1932,,Horse,2006,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"487,160","615,360",N/A,Bought In
Tony Cragg ,1949,,The fanatics,2006,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"307,680","384,600",N/A,Bought In
Li Chen ,1963,,Pure land,1998,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"64,100","89,740","184,287",Premium
Cindy Ng Sio Ieng ,1966,,Ink walk 012010,2010,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"1,025","1,538",N/A,Bought In
Yoshitomo Nara ,1959,,Melting moon,2003,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"358,960","448,700","489,724",Premium
Tatsuo Miyajima ,1957,,Time in blue no. 15,1996,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"12,820","19,230","16,025",Premium
Tracey Emin ,1963,,This is another place,2007,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"61,536","76,920",N/A,Bought In
Kohei Nawa ,1975,,Pixcell - beckoning cat,2015,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"51,280","76,920",N/A,Bought In
Niki de Saint Phalle ,1930,2002,Yin Yang,1982,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"30,768","38,460","51,280",Premium
Izumi Kato ,1969,,Untitled,2007,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"12,820","19,230","28,845",Premium
Yayoi Kusama ,1929,,Untitled,1984,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"15,384","23,076","67,305",Premium
Yayoi Kusama ,1929,,Untitled,1984,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"19,230","33,332","73,715",Premium
Yoshitomo Nara ,1959,,Sleepless night sitting,2007,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"6,410","10,256","56,087",Premium
Yoshitomo Nara ,1959,,Mori girl,2012,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"7,692","10,256","38,460",Premium
Takashi Murakami ,1962,,Murakami X Complexcon Mr. Dob,2016,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"2,564","3,846","6,089",Premium
Yudi Sulistyo ,1960,,3-1m,N/A,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"3,846","5,769","4,807",Premium
Indieguerillas ,1999,,Portable art is good for you VII: (the birth of) the cheerful and the beautiful pseudo-cool,2010,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"6,410","8,974",N/A,Bought In
Entang Wiharso ,1967,,My dream bigger than my body,N/A,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"8,974","11,538","11,217",Premium
Vu Cao Dam ,1908,2000,Portrait of president Ho Chi Minh,1946,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"1,923","3,205","4,487",Premium
Eduardo Castrillo ,1942,2016,Calmness in organic form,2009,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"7,692","11,538","32,050",Premium
Goh Beng Kwan ,1937,,The new year,N/A,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art ? Day Sale,"3,846","6,410",N/A,Bought In
Ju Ming ,1938,,Single whip,1980,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern Asian Art ? Day Sale,"153,840","256,400","428,188",Premium
Ju Ming ,1938,,Taichi,1989,Sculpture,"October 01, 2017",Sotheby's Hong Kong,Modern Asian Art ? Day Sale,"153,840","230,760","240,375",Premium
Kengiro Azuma ,1926,,Mu-767,1976,Sculpture,"September 30, 2017",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"7,692","15,384","30,447",Premium
Ju Ming ,1938,,Taichi series,1996,Sculpture,"September 30, 2017",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"1,153,800","1,923,000","1,628,140",Premium
Antony Gormley ,1950,,Bind II,2011,Sculpture,"September 30, 2017",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"307,680","448,700","566,644",Premium
Ai Weiwei ,1957,,Grapes,2011,Sculpture,"September 30, 2017",Sotheby's Hong Kong,Modern and Contemporary Asian Art Evening Sale,"448,700","576,900",N/A,Bought In
Arin Dwihartanto Sunaryo ,1978,,Multicolour,2012,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art,"10,288","15,431",N/A,Bought In
Angki Purbandono ,1971,,The plastic guns - Violence for beginner,2012,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art,"2,572","5,144","4,179",Premium
Gao Weigang ,1976,,In one breath no. 2,2013,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"7,715","12,860","9,645",Premium
Lee Ufan ,1936,,Relatum,1986,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"115,740","154,320","257,199",Premium
Ai Weiwei ,1957,,Yuyi,2006,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"51,440","77,160","64,299",Premium
Ai Weiwei ,1957,,Dress,2006,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"25,720","38,580","41,795",Premium
Zhu Wei ,1966,,China China,2008,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"57,870","102,880","120,562",Premium
Kumiko Imanaka ,1938,,Blue and red swirl no. 14,1966,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"7,715","11,574","11,252",Premium
Shu Takahashi ,1930,,Ragazza innamorata (Girl in love),1966,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"5,144","7,715","5,144",Premium
Kengiro Azuma ,1926,,Untitled,1970,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"5,144","6,430","5,144",Premium
Yoshitomo Nara ,1959,,Sleepless night (Sitting),2007,Sculpture,"April 03, 2017",Sotheby's Hong Kong,Contemporary Asian Art,"7,715","10,288","104,487",Premium
