Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Ai Weiwei ,1957,,Coloured vases,2006,Ceramics,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"128,200","192,300","144,225",Premium
Ai Weiwei ,1957,,Bowl of pearls,2010,Ceramics,"October 01, 2017",Sotheby's Hong Kong,Contemporary Art ? Day Sale,"102,560","141,020",N/A,Withdrawn
Wang Ping 19th C,N/A,N/A,A famille-rose 'landscape' vase,N/A,Ceramics,"December 02, 2016",Sotheby's Hong Kong,Chinese Art,"1,933","2,577","6,444",Premium
Asprey & Co. est. 1781,N/A,N/A,Table Clock,N/A,Circa 1980 Metalware,"October 05, 2016",Sotheby's Hong Kong,Important Watches,"12,889","23,201",N/A,Bought In
Patek Philippe est. 1851,N/A,N/A,Desk Clock,1976,Metalware,"October 05, 2016",Sotheby's Hong Kong,Important Watches,"96,674","122,454","120,843",Premium
Zhu Wei ,1966,,China China (Painted Pottery Edition),2008,Ceramics,"June 23, 2016",Sotheby's Hong Kong,Boundless: Contemporary Art,"64,457","90,240",N/A,Bought In
Ettore Sottsass ,1917,2007,Vase Cléopâtre,2000,Ceramics,"June 23, 2016",Sotheby's Hong Kong,Boundless: Contemporary Art,"6,445","9,024",N/A,Bought In
Liu Jianjun ,1959,,An overheaded bamboo teapot and cover,N/A,Ceramics,"June 02, 2016",Sotheby's Hong Kong,"Water, Pine and Stone Retreat ? Playthings","1,930","2,573","2,412",Premium
Zhou Guizhen ,1943,,A Monks Cap teapot and cover,N/A,Ceramics,"June 02, 2016",Sotheby's Hong Kong,"Water, Pine and Stone Retreat ? Playthings","3,217","3,860","35,390",Premium
Tadao Ando ,1941,,Revived Bowl,2014,Ceramics,"April 05, 2016",Sotheby's Hong Kong,Literati / Curiosity II,"5,157","7,735","6,446",Premium
Chen Ching-Jung ,1934,,Jonathan Livingston Seagull,N/A,Ceramics,"April 04, 2016",Sotheby's Hong Kong,Modern Asian Art,"2,321","3,353",N/A,Bought In
Montien Boonma ,1953,2000,Untitled,N/A,Metalware,"April 04, 2016",Sotheby's Hong Kong,Modern and Contemporary Southeast Asian Art,"38,692","64,488","177,342",Premium
Jiro Yoshihara ,1905,1972,Work,1963,Ceramics,"October 05, 2015",Sotheby's Hong Kong,Full Circle - Yoshihara Jiro Collection,"2,580","5,161","11,291",Premium
Jiro Yoshihara ,1905,1972,Work,1963,Ceramics,"October 05, 2015",Sotheby's Hong Kong,Full Circle - Yoshihara Jiro Collection,"2,580","5,161","32,260",Premium
Jiro Yoshihara ,1905,1972,Work,1963,Ceramics,"October 05, 2015",Sotheby's Hong Kong,Full Circle - Yoshihara Jiro Collection,"2,580","5,161","25,808",Premium
Jiro Yoshihara ,1905,1972,Work,1963,Ceramics,"October 05, 2015",Sotheby's Hong Kong,Full Circle - Yoshihara Jiro Collection,"2,580","5,161","16,130",Premium
Xi Dejin ,1923,1981,Pottery Beakers,N/A,Circa 1956 Ceramics,"October 06, 2014",Sotheby's Hong Kong,20th Century Chinese Art,"6,450","10,320","8,062",Premium
Chu Teh-Chun ,1920,2014,F28,2005,Ceramics,"October 06, 2014",Sotheby's Hong Kong,20th Century Chinese Art,"19,350","32,250","24,187",Premium
