Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Wang Jinchun ,1952,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"23,488","29,360","27,011",Premium
Chen Jun ,1980,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,734,"1,468","1,012",Premium
Shen Jialiang ,1953,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"8,808","11,744","10,129",Premium
Cheng Jianjun ,1978,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"14,680","29,360","16,882",Premium
Sun Zhenfeng ,1960,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"8,808","14,680","10,129",Premium
Xiong Yuantang ,1963,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"5,872","11,744","6,752",Premium
Yang Junyan ,1963,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","3,376",Premium
Wang Huaijun ,1943,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"4,404","7,340","5,064",Premium
Fang Yi ,1975,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,468","2,936","5,402",Premium
Fang Yi ,1975,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,468","2,936","5,064",Premium
Ding Hong ,1965,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","5,064",Premium
Cheng Zifeng ,1988,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"23,488","29,360","33,764",Premium
Huang Shan ,1980,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","3,376",Premium
Zhu Zhenhong ,1973,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"14,680","22,020","20,258",Premium
Wu Lingzhi ,1986,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","5,064",Premium
Yu Fuchang ,1950,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,N/A,N/A,844,Premium
Shi Jiamei ,1942,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,734,"1,468","1,012",Premium
Cao Jinxing ,1940,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,761","2,936","2,532",Premium
Lu Wei ,1967,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,202","2,936","3,038",Premium
Gong Xunming ,1957,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","8,808","3,882",Premium
Zhao Zhongliang ,1971,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","7,340","3,376",Premium
Xie Bengui ,1938,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,202","4,404","2,701",Premium
Huang Maijiu ,1938,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"22,020","29,360","25,323",Premium
Wang Guiying ,1931,2012,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"26,424","44,040","32,075",Premium
Wang Guiying ,1931,2012,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"7,340","14,680","8,441",Premium
Xu Yafeng ,1940,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"8,808","11,744","10,129",Premium
Lu Ru ,1936,,Brus Holder,N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"7,340","11,744","8,441",Premium
Lu Ru ,1936,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"7,340","11,744","8,441",Premium
Yuan Shiwen ,1947,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","7,340","3,376",Premium
Qiu Qixian 20th/21st C,N/A,N/A,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","3,714",Premium
Hu Damin ,1976,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,468","2,936","2,532",Premium
Huang Shuiquan ,1963,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,174","2,936","1,519",Premium
Zhou Peng ,1963,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","7,340","3,376",Premium
Guo Wenlian ,1942,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"734,000","1,174,400","1,350,560",Premium
Wang Shangbin ,1962,,Bluish Dark Carving Tea Caddy,N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","5,064",Premium
Yang Runquan ,1942,,Tea Pot,N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"2,936","4,404","3,376",Premium
Zheng Canhuang ,1972,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"4,404","7,340","5,064",Premium
Yi Chali ,1970,,Vase,N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"8,808","11,744","21,946",Premium
Wei Chubin ,1978,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"4,404","7,340","5,908",Premium
Yi Chali ,1970,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"5,872","8,808","6,752",Premium
Cheng Hongpu ,1977,,[Untitled],N/A,Ceramics,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - China Guardian 2016 Autumn Auctions - Modern and Contemporary Porcelain,"1,468","4,404","2,194",Premium
