Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Hong Tao ,1966,,The Party Named The Communist Party of China,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"73,400","88,080","84,410",Premium
Yu Chang ,1957,,Dreaming,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"5,872","8,808","9,791",Premium
Yu Chang ,1957,,-40°C,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"8,808","14,680","12,155",Premium
Yu Fan ,1966,,Boy,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"7,340","11,744",N/A,Bought In
Cao Yun ,1986,,Bee and Monkey,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"7,340","11,744","10,129",Premium
Zhang Xiaoman ,1982,,Lady with an Ermine,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"8,808","14,680","10,129",Premium
Sun Peng ,1983,,Monroe Wears Earrings,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"8,808","14,680","10,466",Premium
Ren Zhe ,1983,,Sky Breaker,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"14,680","22,020","25,323",Premium
Chen Jinqing ,1983,,Bodhi No.2,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"11,744","17,616",N/A,Bought In
Ding Hao ,1987,,Babel No.3,N/A,Sculpture,"November 13, 2016",China Guardian  Beijing,China Guardian 2016 Autumn Auctions - 20th Century & Contemporary Art,"11,744","17,616","13,505",Premium
