Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Jiang Zhi ,1971,,0.7% Salt,2009,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Asian Modern And Contemporary Arts,"39,636","54,316","50,646",Premium
Chen Jinqing ,1983,,Serve the People Series,2013,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Asian Modern And Contemporary Arts,"23,488","29,360",N/A,Bought In
Jia Chang 20/21st Century,N/A,N/A,Gan Giant,2015,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Asian Modern And Contemporary Arts,"117,440","176,160","202,584",Premium
Wu Weishan ,1962,,[Untitled],2000,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern and Contemporary Arts Evening Sale,"117,440","176,160","506,460",Premium
Xiang Jing ,1968,,Whole Dark Moment,2005,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - Modern and Contemporary Arts Evening Sale,"220,200","293,600","253,230",Premium
Gu Dexin ,1962,,Terracotta Statues Series A01-A64,2003,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"88,080","117,440",N/A,Bought In
Yin Xiuzhen ,1963,,I Can?t Promise in Future,2008,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"17,616","32,296","32,075",Premium
Zhang Xiaogang ,1958,,Worker?Farmer?Merchant?Student?Soldier,2008,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"117,440","176,160","135,056",Premium
Wang Yuyang ,1979,,Artifical Moon,2007,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"102,760","146,800","303,876",Premium
Li Hui ,1977,,Reincarnation,2010,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"146,800","176,160","168,820",Premium
Zhao Zhao ,1982,,Again,2012,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"58,720","117,440","67,528",Premium
Hu Xiaoyuan ,1977,,Untitled,2014,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"29,360","44,040","64,151",Premium
Yang Xinguang ,1980,,Bamboo in the Bookshelf,2008,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"26,424","41,104","30,387",Premium
Yang Xinguang ,1980,,Hello,2012,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"17,616","32,296","20,258",Premium
Shang Yixin ,1980,,By the Sea,2012,Sculpture,"June 04, 2017",Poly International Auction Beijing,2017 Spring Sales - The Ullens Collection Of Chinese Contemporary Art,"14,680","29,360","16,882",Premium
