Artist,Birth Year,Death Year,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
Lu Ru ,1936,,A Vase,1991,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"1,523","3,046","2,802",Premium
Jiang Jianming ,1962,,A Vase,2009,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,N/A,N/A,700,Premium
Jiang Linjun 20th/21st C,N/A,N/A,A Vase,2015,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,N/A,N/A,N/A,Bought In
Cui Di 20th/21st C,N/A,N/A,A Set of Stationary,2016,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"9,139","12,186","11,386",Premium
Liu Lizhong 20th C,N/A,N/A,A Cizhou Yao Pillow,N/A,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,N/A,N/A,350,Premium
Zhu Legeng ,1952,,A Cizhou Yao Vase,N/A,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,N/A,N/A,700,Premium
Zhu Legeng ,1952,,A Tea Pot,N/A,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"3,046","4,569","7,007",Premium
Zhu Legeng ,1952,,A Tea Pot,N/A,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"3,046","4,569","7,007",Premium
Lv Jiajing 20th C,N/A,N/A,A Tea Pot,2010,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,761,"1,218",N/A,Bought In
Mao Zhengcong ,1940,,A Vase,1998,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"3,046","4,569",N/A,Bought In
Xu Chaoxing ,1943,,A Ge Yao Vase,N/A,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"4,569","7,616",N/A,Bought In
Wang Pingsun ,1931,2011,A Vase,1997,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"6,093","9,139",N/A,Bought In
Wang Pingsun ,1931,2011,A Set of Plaques,2006,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"12,186","15,233",N/A,Bought In
Xia Zhongyong ,1943,,A Vase,2003,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"12,186","15,233",N/A,Bought In
Dai Ronghua ,1940,2017,A Vase,2006,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"76,165","91,398","96,349",Premium
Zhang Songmao ,1934,,A Vase,2005,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"76,165","91,398",N/A,Bought In
Wang Xiliang ,1922,,A Vase,1988,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"121,864","182,797","183,939",Premium
Wang Xiliang ,1922,,A Vase,1993,Ceramics,"June 06, 2016",Poly International Auction Beijing,The New Moon Gathering Modern and Contemporary Chinese Ceramics,"15,233","22,849","26,277",Premium
