Link,Title,Date,Type,Sale Date,Auction House,Lot Info,Estimate Low,Estimate High,Price Sold,Price Type
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844158/Scholar-by-the-bamboo-grove-1953,Scholar by the bamboo grove,1953,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"38,460","51,280","92,945",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844165/Summer-fruits-and-blossoms;-Calligraphy-1947,Summer fruits and blossoms; Calligraphy,1947,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"102,560","153,840","128,200",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Shanzi-6844168/Gnarled-pines-on-Mount-Huang;-Calligraphy-1934,Gnarled pines on Mount Huang; Calligraphy,1934,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"15,384","23,076","19,230",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844174/Verse-in-Xingshu-,Verse in Xingshu,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"30,768","51,280","41,665",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844175/Poem-in-Xingshu-1980,Poem in Xingshu,1980,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"30,768","51,280",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844179/Orchid-and-bamboo-1976,Orchid and bamboo,1976,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"38,460","51,280","56,087",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844180/Plum-blossoms-by-the-rock-1976,Plum blossoms by the rock,1976,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"38,460","51,280","72,112",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Pu-Ru-6844185/Various-subjects-,Various subjects,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"64,100","89,740","272,425",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844208/Calligraphy-couplet-in-Xingshu-1948,Calligraphy couplet in Xingshu,1948,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"38,460","64,100","48,075",Premium
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844211/Sketches-of-landscape-,Sketches of landscape,N/A,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"35,896","44,870",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Dong-Yuan-6844226/Landscape-1951,Landscape,1951,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"641,000","897,400",N/A,Bought In
http://artsalesindex.artinfo.comhttp://artsalesindex.artinfo.com/auctions/-Zhang-Daqian-6844227/Scholar-beneath-willow-branches-1949,Scholar beneath willow branches,1949,Works on Paper,"October 02, 2017",Sotheby's Hong Kong,Fine Chinese Paintings,"108,970","153,840","240,375",Premium
